code,alt_code,description_lc
S52.8,S528,fracture of other parts of forearm
S52.80,S5280,fracture of other parts of forearm
S52.81,S5281,fracture of other parts of forearm
S52.9,S529,"fracture of forearm, part unspecified"
S52.90,S5290,"fracture of forearm, part unspecified"
S52.91,S5291,"fracture of forearm, part unspecified"
S62,S62,fracture at wrist and hand level
S62.0,S620,fracture of navicular [scaphoid] bone of hand
S62.00,S6200,fracture of navicular [scaphoid] bone of hand
S62.01,S6201,fracture of navicular [scaphoid] bone of hand
S62.1,S621,fracture of other carpal bone(s)
S62.10,S6210,fracture of other carpal bone(s)
S62.11,S6211,fracture of other carpal bone(s)
S62.2,S622,fracture of first metacarpal bone
S62.20,S6220,fracture of first metacarpal bone
S62.21,S6221,fracture of first metacarpal bone
S62.3,S623,fracture of other metacarpal bone
S62.30,S6230,fracture of other metacarpal bone
S62.31,S6231,fracture of other metacarpal bone
S62.4,S624,multiple fractures of metacarpal bones
S62.40,S6240,multiple fractures of metacarpal bones
S62.41,S6241,multiple fractures of metacarpal bones
S62.5,S625,fracture of thumb
S62.50,S6250,fracture of thumb
S62.51,S6251,fracture of thumb
S62.6,S626,fracture of other finger
S62.60,S6260,fracture of other finger
S62.61,S6261,fracture of other finger
S62.7,S627,multiple fractures of fingers
S62.70,S6270,multiple fractures of fingers
S62.71,S6271,multiple fractures of fingers
S62.8,S628,fracture of other and unspecified parts of wrist and hand
S62.80,S6280,fracture of other and unspecified parts of wrist and hand
S62.81,S6281,fracture of other and unspecified parts of wrist and hand
S72,S72,fracture of femur
S72.0,S720,fracture of neck of femur
S72.00,S7200,fracture of neck of femur
S72.01,S7201,fracture of neck of femur
S72.1,S721,pertrochanteric fracture
S72.10,S7210,pertrochanteric fracture
S72.11,S7211,pertrochanteric fracture
S72.2,S722,subtrochanteric fracture
S72.20,S7220,subtrochanteric fracture
S72.21,S7221,subtrochanteric fracture
S72.3,S723,fracture of shaft of femur
S72.30,S7230,fracture of shaft of femur
S72.31,S7231,fracture of shaft of femur
S72.4,S724,fracture of lower end of femur
S72.40,S7240,fracture of lower end of femur
S72.41,S7241,fracture of lower end of femur
S72.7,S727,multiple fractures of femur
S72.70,S7270,multiple fractures of femur
S72.71,S7271,multiple fractures of femur
S72.8,S728,fractures of other parts of femur
S72.80,S7280,fractures of other parts of femur
S72.81,S7281,fractures of other parts of femur
S72.9,S729,"fracture of femur, part unspecified"
S72.90,S7290,"fracture of femur, part unspecified"
S72.91,S7291,"fracture of femur, part unspecified"
S82,S82,"fracture of lower leg, including ankle"
S82.0,S820,fracture of patella
S82.00,S8200,fracture of patella
S82.01,S8201,fracture of patella
S82.1,S821,fracture of upper end of tibia
S82.10,S8210,fracture of upper end of tibia
S82.11,S8211,fracture of upper end of tibia
S82.2,S822,fracture of shaft of tibia
S82.20,S8220,fracture of shaft of tibia
S82.21,S8221,fracture of shaft of tibia
S82.3,S823,fracture of lower end of tibia
S82.30,S8230,fracture of lower end of tibia
S82.31,S8231,fracture of lower end of tibia
S82.4,S824,fracture of fibula alone
S82.40,S8240,fracture of fibula alone
S82.41,S8241,fracture of fibula alone
S82.5,S825,fracture of medial malleolus
