prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
61283,0,01358020,Doxazosin 4mg tablets (Alliance Healthcare (Distribution) Ltd),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),September 2014
62158,0,71469020,Doxazosin 4mg tablets (Almus Pharmaceuticals Ltd),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),January 2015
53322,0,01362020,Doxazosin 4mg tablets (Bristol Laboratories Ltd),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),January 2013
60200,0,21704021,Doxazosin 4mg tablets (DE Pharmaceuticals),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),June 2014
59862,0,64188020,Doxazosin 4mg tablets (Dexcel-Pharma Ltd),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),May 2014
19216,93,64260020,Doxazosin 4mg tablets (IVAX Pharmaceuticals UK Ltd),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040000,Alpha-adrenoceptor Blocking Drugs/Drugs For Genito-urinary Disorders,February 2009
68161,0,53280021,Doxazosin 4mg tablets (Mawdsley-Brooks & Company Ltd),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),November 2016
54785,0,38498020,Doxazosin 4mg tablets (Medreich Plc),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),April 2013
34553,178,64041020,Doxazosin 4mg tablets (Mylan),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
58325,0,01363020,Doxazosin 4mg tablets (Phoenix Healthcare Distribution Ltd),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),December 2013
45342,1,64318020,Doxazosin 4mg tablets (Sandoz Ltd),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040000,Alpha-adrenoceptor Blocking Drugs/Drugs For Genito-urinary Disorders,May 2011
68022,0,66550020,Doxazosin 4mg tablets (Sovereign Medical Ltd),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),October 2016
40678,584,64073020,Doxazosin 4mg tablets (Teva UK Ltd),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),November 2009
65159,0,20149021,Doxazosin 4mg tablets (Waymade Healthcare Plc),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),January 2016
61123,49,20657021,Doxazosin 4mg/5ml oral solution,Doxazosin mesilate,800microgram/1ml,Oral solution,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),September 2014
35603,587,93725020,Doxazosin 4mg/5ml oral suspension,Doxazosin mesilate,800microgram/1ml,Oral suspension,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
5496,956512,84706020,Doxazosin 8mg modified-release tablets,Doxazosin mesilate,8mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
69757,1,30760020,Doxazosin 8mg/5ml oral suspension,Doxazosin mesilate,1.6mg/1ml,Oral suspension,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),June 2017
