prodcode,productname,review,dmdcode,therapyevents,bnftext
252,Prozac 20mg/5ml liquid (Eli Lilly and Company Ltd),SSRI,695811000001109,13774,Selective Serotonin Re-Uptake Inhibitors (SSRI)
4907,Prozac 60mg capsules (Eli Lilly and Company Ltd),SSRI,142311000001103,3513,Selective Serotonin Re-Uptake Inhibitors (SSRI)
37256,Prozep 20mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),SSRI,11581211000001100,633,Selective Serotonin Re-Uptake Inhibitors (SSRI)
33779,Prozit 20mg/5ml oral solution (Pinewood Healthcare),SSRI,10065611000001108,100,Selective Serotonin Re-Uptake Inhibitors (SSRI)
2356,Reboxetine 4mg tablets,Yes,39703311000001104,164979,Other Antidepressants
41314,Rodomel XL 150mg capsules (Teva UK Ltd),SSRI,14934411000001108,494,Other Antidepressants
41033,Rodomel XL 75mg capsules (Teva UK Ltd),SSRI,14934211000001108,595,Other Antidepressants
35112,Seroxat 10mg tablets (GlaxoSmithKline UK Ltd),SSRI,11270611000001108,7207,Selective Serotonin Re-Uptake Inhibitors (SSRI)
74588,Seroxat 20mg tablets (DE Pharmaceuticals),SSRI,18612611000001108,114,Selective Serotonin Re-Uptake Inhibitors (SSRI)
841,Seroxat 20mg tablets (GlaxoSmithKline UK Ltd),SSRI,477511000001109,464634,Selective Serotonin Re-Uptake Inhibitors (SSRI)
73589,Seroxat 20mg tablets (Lexon (UK) Ltd),SSRI,16243511000001100,149,Selective Serotonin Re-Uptake Inhibitors (SSRI)
3601,Seroxat 20mg/10ml liquid (GlaxoSmithKline UK Ltd),SSRI,16811000001109,8239,Selective Serotonin Re-Uptake Inhibitors (SSRI)
1575,Seroxat 30mg tablets (GlaxoSmithKline UK Ltd),SSRI,738111000001107,95675,Selective Serotonin Re-Uptake Inhibitors (SSRI)
76772,Seroxat 30mg tablets (Mawdsley-Brooks & Company Ltd),SSRI,17449511000001104,320,Selective Serotonin Re-Uptake Inhibitors (SSRI)
727,Sertraline 100mg tablets,SSRI,39704011000001104,7450087,Selective Serotonin Re-Uptake Inhibitors (SSRI)
55146,Sertraline 100mg tablets (A A H Pharmaceuticals Ltd),SSRI,9751511000001104,24,Selective Serotonin Re-Uptake Inhibitors (SSRI)
62950,Sertraline 100mg tablets (Accord-UK Ltd),SSRI,20169911000001104,106,Selective Serotonin Re-Uptake Inhibitors (SSRI)
62692,Sertraline 100mg tablets (Bristol Laboratories Ltd),SSRI,16066511000001108,53,Selective Serotonin Re-Uptake Inhibitors (SSRI)
67928,Sertraline 100mg tablets (Milpharm Ltd),SSRI,19197211000001104,35,Selective Serotonin Re-Uptake Inhibitors (SSRI)
54933,Sertraline 100mg tablets (PLIVA Pharma Ltd),SSRI,9738611000001108,21,Selective Serotonin Re-Uptake Inhibitors (SSRI)
66413,Sertraline 100mg tablets (Sun Pharmaceutical Industries Europe B.V.),SSRI,10567411000001104,29,Selective Serotonin Re-Uptake Inhibitors (SSRI)
68756,Sertraline 100mg tablets (Sandoz Ltd),SSRI,9775011000001108,10,Selective Serotonin Re-Uptake Inhibitors (SSRI)
44944,Sertraline 100mg tablets (Teva UK Ltd),SSRI,9746211000001108,127,Selective Serotonin Re-Uptake Inhibitors (SSRI)
73962,Sertraline 100mg tablets (Wockhardt UK Ltd),SSRI,9781211000001104,194,Selective Serotonin Re-Uptake Inhibitors (SSRI)
49519,Sertraline 100mg/5ml oral suspension,SSRI,8721711000001105,559,Selective Serotonin Re-Uptake Inhibitors (SSRI)
78278,Sertraline 12.5mg tablets,SSRI,36905311000001104,10,Selective Serotonin Re-Uptake Inhibitors (SSRI)
54826,Sertraline 150mg/5ml oral suspension,SSRI,13045711000001108,105,Selective Serotonin Re-Uptake Inhibitors (SSRI)
54081,Sertraline 25mg/5ml oral suspension,SSRI,13045911000001104,58,Selective Serotonin Re-Uptake Inhibitors (SSRI)
488,Sertraline 50mg tablets,SSRI,39704111000001104,9275408,Selective Serotonin Re-Uptake Inhibitors (SSRI)
32401,Sertraline 50mg tablets (A A H Pharmaceuticals Ltd),SSRI,9751311000001104,257,Selective Serotonin Re-Uptake Inhibitors (SSRI)
58723,Sertraline 50mg tablets (Accord-UK Ltd),SSRI,20169711000001108,197,Selective Serotonin Re-Uptake Inhibitors (SSRI)
42387,Sertraline 50mg tablets (Actavis UK Ltd),SSRI,9744911000001106,45,Selective Serotonin Re-Uptake Inhibitors (SSRI)
62693,Sertraline 50mg tablets (Bristol Laboratories Ltd),SSRI,16066211000001106,120,Selective Serotonin Re-Uptake Inhibitors (SSRI)
69725,Sertraline 50mg tablets (Crescent Pharma Ltd),SSRI,28988111000001104,65,Selective Serotonin Re-Uptake Inhibitors (SSRI)
79163,Sertraline 50mg tablets (Kent Pharma (UK) Ltd),SSRI,9764711000001104,11,Selective Serotonin Re-Uptake Inhibitors (SSRI)
63481,Sertraline 50mg tablets (Milpharm Ltd),SSRI,19197011000001100,29,Selective Serotonin Re-Uptake Inhibitors (SSRI)
58664,Sertraline 50mg tablets (Viatris UK Healthcare Ltd),SSRI,9842711000001100,454,Selective Serotonin Re-Uptake Inhibitors (SSRI)
69898,Sertraline 50mg tablets (Sandoz Ltd),SSRI,9774711000001104,35,Selective Serotonin Re-Uptake Inhibitors (SSRI)
62927,Sertraline 50mg tablets (Wockhardt UK Ltd),SSRI,9779311000001108,19,Selective Serotonin Re-Uptake Inhibitors (SSRI)
75405,Sertraline 50mg/5ml oral solution,SSRI,36003611000001104,199,Selective Serotonin Re-Uptake Inhibitors (SSRI)
7328,Sertraline 50mg/5ml oral suspension,SSRI,8721911000001107,8759,Selective Serotonin Re-Uptake Inhibitors (SSRI)
77538,Sertraline 50mg/5ml oral suspension (Drug Tariff Special Order),SSRI,8696711000001101,82,Selective Serotonin Re-Uptake Inhibitors (SSRI)
35258,Sinepin 25mg capsules (Marlborough Pharmaceuticals Ltd),Yes,11044311000001104,648,Tricyclic And Related Antidepressants
35493,Sinepin 50mg capsules (Marlborough Pharmaceuticals Ltd),Yes,11044611000001108,606,Tricyclic And Related Antidepressants
10413,Sinequan 10mg capsules (Pfizer Ltd),Yes,259211000001103,18141,Tricyclic And Related Antidepressants
14521,SINEQUAN 15 MG TAB,Yes,62585001000027104,119,Unknown
12129,Sinequan 25mg capsules (Pfizer Ltd),Yes,400611000001102,31014,Tricyclic And Related Antidepressants
12125,Sinequan 50mg capsules (Pfizer Ltd),Yes,621711000001107,11702,Tricyclic And Related Antidepressants
14519,Sinequan 75mg capsules (Pfizer Ltd),Yes,276511000001108,5318,Tricyclic And Related Antidepressants
59753,Sunveniz XL 150mg tablets (Sun Pharmaceutical Industries Europe B.V.),SSRI,21990711000001108,108,Other Antidepressants
60843,Sunveniz XL 75mg tablets (Sun Pharmaceutical Industries Europe B.V.),SSRI,21965311000001104,225,Other Antidepressants
8928,Surmontil 10mg tablets (Sanofi),Yes,908011000001108,12796,Tricyclic And Related Antidepressants
2532,Surmontil 25mg tablets (Sanofi),Yes,498211000001103,74049,Tricyclic And Related Antidepressants
2531,Surmontil 50mg capsules (Sanofi),Yes,101711000001102,76923,Tricyclic And Related Antidepressants
40817,Tardcaps XL 150mg capsules (IXL Pharma Ltd),SSRI,14967611000001108,136,Other Antidepressants
40815,Tardcaps XL 75mg capsules (IXL Pharma Ltd),SSRI,14967411000001106,89,Other Antidepressants
39809,Tifaxin XL 150mg capsules (Genus Pharmaceuticals Ltd),SSRI,14981711000001108,4376,Other Antidepressants
39770,Tifaxin XL 75mg capsules (Genus Pharmaceuticals Ltd),SSRI,14981511000001102,4550,Other Antidepressants
2579,Tofranil 10mg Tablet (Novartis Pharmaceuticals UK Ltd),Yes,59085001000027104,4294,"Tricyclic And Related Antidepressants/Drugs For Urinary Frequency, Enuresis, And Incontinence"
56501,Tofranil 25mg tablets (Lexon (UK) Ltd),Yes,16276511000001108,797,Tricyclic And Related Antidepressants/Nocturnal Enuresis
7910,Tofranil 25mg tablets (Novartis Pharmaceuticals UK Ltd),Yes,53511000001107,34123,Tricyclic And Related Antidepressants
4404,Tofranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd),Yes,214311000001103,8205,Unknown
8826,TOFRANIL 50 MG TAB,Yes,57825001000027104,684,Unknown
57751,Tonpular XL 150mg capsules (Wockhardt UK Ltd),SSRI,16455211000001100,98,Other Antidepressants
52716,Tonpular XL 75mg capsules (Wockhardt UK Ltd),SSRI,16455011000001106,97,Other Antidepressants
3783,Tranylcypromine 10mg tablets,Yes,39708811000001104,34102,Monoamine-Oxidase Inhibitors (MAOI)
3955,Tranylcypromine with trifluoperazine Tablet,Yes,144765001000027100,2402,Antipsychotic Products/Monoamine-Oxidase Inhibitors (MAOI)
1730,Trazodone 100mg capsules,Yes,321880000,886747,Tricyclic And Related Antidepressants
34580,Trazodone 100mg capsules (A A H Pharmaceuticals Ltd),Yes,173311000001109,952,Tricyclic And Related Antidepressants
73639,Trazodone 100mg capsules (Accord-UK Ltd),Yes,16238511000001108,40,Tricyclic And Related Antidepressants
19181,Trazodone 100mg capsules (Viatris UK Healthcare Ltd),Yes,733411000001108,117,Tricyclic And Related Antidepressants
41709,Trazodone 100mg capsules (Teva UK Ltd),Yes,656611000001106,32,Tricyclic And Related Antidepressants
41710,Trazodone 100mg capsules (Zentiva Pharma UK Ltd),Yes,158611000001108,81,Tricyclic And Related Antidepressants
65152,Trazodone 100mg/5ml oral solution,Yes,13358711000001100,21,Tricyclic And Related Antidepressants
72291,Trazodone 100mg/5ml oral solution sugar free,Yes,35113311000001104,575,Tricyclic And Related Antidepressants
12710,Trazodone 150mg modified-release tablets,Yes,4557211000001109,3911,Unknown
4020,Trazodone 150mg tablets,Yes,321877001,704100,Tricyclic And Related Antidepressants
73419,Trazodone 150mg tablets (A A H Pharmaceuticals Ltd),Yes,782911000001101,25,Tricyclic And Related Antidepressants
30983,Trazodone 150mg tablets (Viatris UK Healthcare Ltd),Yes,151911000001106,103,Tricyclic And Related Antidepressants
29857,Trazodone 150mg tablets (Teva UK Ltd),Yes,620611000001108,136,Tricyclic And Related Antidepressants
34470,Trazodone 150mg tablets (Zentiva Pharma UK Ltd),Yes,120311000001104,104,Tricyclic And Related Antidepressants
3355,Trazodone 50mg capsules,Yes,321881001,1201400,Tricyclic And Related Antidepressants
34003,Trazodone 50mg capsules (A A H Pharmaceuticals Ltd),Yes,868211000001107,1350,Tricyclic And Related Antidepressants
29339,Trazodone 50mg capsules (Viatris UK Healthcare Ltd),Yes,266411000001103,65,Tricyclic And Related Antidepressants
41609,Trazodone 50mg capsules (Teva UK Ltd),Yes,667211000001102,256,Tricyclic And Related Antidepressants
34421,Trazodone 50mg capsules (Zentiva Pharma UK Ltd),Yes,226111000001100,116,Tricyclic And Related Antidepressants
61842,Trazodone 50mg/5ml oral solution,Yes,13359711000001108,157,Tricyclic And Related Antidepressants
6442,Trazodone 50mg/5ml oral solution sugar free,Yes,3909411000001104,125627,Tricyclic And Related Antidepressants
4310,Trimipramine 10mg tablets,Yes,321887002,47084,Tricyclic And Related Antidepressants
42228,Trimipramine 10mg tablets (A A H Pharmaceuticals Ltd),Yes,9710311000001108,43,Tricyclic And Related Antidepressants
2039,Trimipramine 25mg tablets,Yes,321888007,156459,Tricyclic And Related Antidepressants
45226,Trimipramine 25mg tablets (A A H Pharmaceuticals Ltd),Yes,9710511000001104,51,Tricyclic And Related Antidepressants
2533,TRIMIPRAMINE 50 MG TAB,Yes,57145001000027104,10788,Unknown
3196,Trimipramine 50mg capsules,Yes,321886006,184269,Tricyclic And Related Antidepressants
8726,Tryptizol 10mg Tablet (Merck Sharp & Dohme Ltd),Yes,59295001000027104,22637,Tricyclic And Related Antidepressants/Neuropathic Pain
8878,Tryptizol 10mg/5ml sugar free Oral solution (Merck Sharp and Dohme Ltd),Yes,59395001000027104,4511,Tricyclic And Related Antidepressants/Neuropathic Pain
182,Tryptizol 10mg/ml Injection (Merck Sharp & Dohme Ltd),Yes,59335001000027104,28,Tricyclic And Related Antidepressants
7751,Tryptizol 25mg Tablet (Merck Sharp & Dohme Ltd),Yes,59305001000027104,81884,Tricyclic And Related Antidepressants/Neuropathic Pain
8332,Tryptizol 50mg Tablet (Merck Sharp & Dohme Ltd),Yes,59315001000027110,18442,Tricyclic And Related Antidepressants/Neuropathic Pain
8831,Tryptizol mr 75mg Modified-release capsule (Merck Sharp & Dohme Ltd),Yes,59345001000027104,9040,Tricyclic And Related Antidepressants/Neuropathic Pain
54686,Tryptophan 500mg capsules,Yes,21781311000001108,3092,Other Antidepressants
4422,Tryptophan 500mg tablets,Yes,41989911000001104,20146,Other Antidepressants
8844,Tryptophan with ascorbic acid and pyridoxine powder,Yes,145925001000027100,27,Other Antidepressants
40295,Valdoxan 25mg tablets (Servier Laboratories Ltd),Yes,15457711000001104,3146,Other Antidepressants
40514,Venaxx XL 150mg capsules (Advanz Pharma),SSRI,15068911000001100,38092,Other Antidepressants
40515,Venaxx XL 75mg capsules (Advanz Pharma),SSRI,15068711000001102,37208,Other Antidepressants
70420,Vencarm XL 150mg capsules (Aspire Pharma Ltd),SSRI,34180811000001108,8068,Other Antidepressants
70495,Vencarm XL 225mg capsules (Aspire Pharma Ltd),SSRI,34180611000001108,26772,Other Antidepressants
69819,Vencarm XL 37.5mg capsules (Aspire Pharma Ltd),SSRI,34181211000001100,7575,Other Antidepressants
70315,Vencarm XL 75mg capsules (Aspire Pharma Ltd),SSRI,34181011000001104,8190,Other Antidepressants
50081,Venlablue XL 150mg capsules (Zentiva Pharma UK Ltd),SSRI,16421511000001100,14653,Other Antidepressants
59035,Venlablue XL 37.5mg capsules (Zentiva Pharma UK Ltd),SSRI,23474511000001108,5649,Other Antidepressants
49511,Venlablue XL 75mg capsules (Zentiva Pharma UK Ltd),SSRI,16421311000001106,13195,Other Antidepressants
58726,Venladex XL 150mg tablets (Dexcel-Pharma Ltd),SSRI,23343211000001100,903,Other Antidepressants
74516,Venladex XL 225mg tablets (Dexcel-Pharma Ltd),SSRI,35638211000001108,529,Other Antidepressants
58681,Venladex XL 75mg tablets (Dexcel-Pharma Ltd),SSRI,23343411000001100,1437,Other Antidepressants
55501,Venlafaxine 150mg Modified-release capsule (Hillcross Pharmaceuticals Ltd),SSRI,199945001000027100,380,Other Antidepressants
2654,Venlafaxine 150mg modified-release capsules,SSRI,38750411000001104,1599264,Other Antidepressants
70806,Venlafaxine 150mg modified-release capsules (DE Pharmaceuticals),SSRI,30110611000001104,57,Other Antidepressants
71782,Venlafaxine 150mg modified-release capsules (Mawdsley-Brooks & Company Ltd),SSRI,30944311000001100,13,Other Antidepressants
43334,Venlafaxine 150mg modified-release capsules (Sandoz Ltd),SSRI,15157211000001104,14,Other Antidepressants
39360,Venlafaxine 150mg modified-release tablets,SSRI,14984911000001108,562342,Other Antidepressants
62734,Venlafaxine 150mg/5ml oral suspension,SSRI,13467111000001100,16,Other Antidepressants
65666,Venlafaxine 225mg modified-release capsules,SSRI,31016011000001104,52520,Other Antidepressants
40054,Venlafaxine 225mg modified-release tablets,SSRI,15439111000001108,258748,Other Antidepressants
58837,Venlafaxine 37.5mg modified-release capsules,SSRI,23560511000001100,93375,Other Antidepressants
45806,Venlafaxine 37.5mg modified-release tablets,SSRI,18765111000001100,86880,Other Antidepressants
301,Venlafaxine 37.5mg tablets,SSRI,39707611000001104,1193128,Other Antidepressants
73667,Venlafaxine 37.5mg tablets (Actavis UK Ltd),SSRI,14958511000001100,19,Other Antidepressants
75525,Venlafaxine 37.5mg tablets (Almus Pharmaceuticals Ltd),SSRI,34956211000001104,16,Other Antidepressants
60895,Venlafaxine 37.5mg tablets (Teva UK Ltd),SSRI,14958711000001106,11,Other Antidepressants
51699,Venlafaxine 37.5mg/5ml oral solution,SSRI,14017911000001108,113,Other Antidepressants
13237,Venlafaxine 37.5mg/5ml oral suspension,SSRI,8722711000001103,2196,Other Antidepressants
2617,Venlafaxine 50mg tablets,SSRI,39707311000001110,15624,Unknown
470,Venlafaxine 75mg modified-release capsules,SSRI,38750311000001104,2089326,Other Antidepressants
71257,Venlafaxine 75mg modified-release capsules (DE Pharmaceuticals),SSRI,30110411000001108,60,Other Antidepressants
59563,Venlafaxine 75mg modified-release capsules (Kent Pharma (UK) Ltd),SSRI,15022711000001108,28,Other Antidepressants
68876,Venlafaxine 75mg modified-release capsules (Mawdsley-Brooks & Company Ltd),SSRI,30944111000001104,41,Other Antidepressants
39359,Venlafaxine 75mg modified-release tablets,SSRI,14985011000001108,500133,Other Antidepressants
1222,Venlafaxine 75mg tablets,SSRI,39707411000001104,1211386,Other Antidepressants
66437,Venlafaxine 75mg tablets (DE Pharmaceuticals),SSRI,30110211000001108,17,Other Antidepressants
56457,Venlafaxine 75mg tablets (Teva UK Ltd),SSRI,14959111000001104,114,Other Antidepressants
53326,Venlafaxine 75mg/5ml oral solution,SSRI,14018011000001106,321,Other Antidepressants
63268,Venlafaxine 75mg/5ml oral suspension,SSRI,14018111000001108,237,Other Antidepressants
40062,Venlalic XL 150mg tablets (Ethypharm UK Ltd),SSRI,15375411000001108,176823,Other Antidepressants
40407,Venlalic XL 225mg tablets (Ethypharm UK Ltd),SSRI,15376011000001108,68232,Other Antidepressants
45818,Venlalic XL 37.5mg tablets (Ethypharm UK Ltd),SSRI,18748311000001100,21203,Other Antidepressants
40059,Venlalic XL 75mg tablets (Ethypharm UK Ltd),SSRI,15375711000001104,154191,Other Antidepressants
44936,Venlaneo XL 150mg capsules (Kent Pharma (UK) Ltd),SSRI,18148811000001100,182,Other Antidepressants
44937,Venlaneo XL 75mg capsules (Kent Pharma (UK) Ltd),SSRI,18148611000001104,61,Other Antidepressants
71932,Venlasov XL 150mg capsules (Sovereign Medical Ltd),SSRI,34740711000001100,245,Other Antidepressants
70931,Venlasov XL 75mg capsules (Sovereign Medical Ltd),SSRI,34740911000001104,95,Other Antidepressants
40092,Vensir XL 150mg capsules (Morningside Healthcare Ltd),SSRI,14975411000001108,335993,Other Antidepressants
67563,Vensir XL 225mg capsules (Morningside Healthcare Ltd),SSRI,32833611000001108,39612,Other Antidepressants
40277,Vensir XL 75mg capsules (Morningside Healthcare Ltd),SSRI,14975211000001108,281938,Other Antidepressants
76727,Venzip XL 150mg capsules (Milpharm Ltd),SSRI,35797111000001104,20,Other Antidepressants
40517,Vexarin XL 150mg capsules (Viatris UK Healthcare Ltd),SSRI,14974711000001100,17,Other Antidepressants
42600,Vexarin XL 75mg capsules (Viatris UK Healthcare Ltd),SSRI,14974911000001104,16,Other Antidepressants
40764,ViePax 37.5mg tablets (Dexcel-Pharma Ltd),SSRI,14978711000001108,317,Other Antidepressants
40917,ViePax 75mg tablets (Dexcel-Pharma Ltd),SSRI,14978911000001104,337,Other Antidepressants
40049,ViePax XL 150mg tablets (Dexcel-Pharma Ltd),SSRI,14981311000001108,8606,Other Antidepressants
40048,ViePax XL 75mg tablets (Dexcel-Pharma Ltd),SSRI,14980711000001104,8142,Other Antidepressants
12309,Viloxazine hcl 50mg tablets,SSRI,132045001000027100,715,Tricyclic And Related Antidepressants
12111,Vivalan 50mg Tablet (AstraZeneca UK Ltd),SSRI,34615001000027104,344,Tricyclic And Related Antidepressants
65483,Vortioxetine 10mg tablets,SSRI,30738611000001104,23567,Other Antidepressants
66890,Vortioxetine 20mg tablets,SSRI,30738711000001100,18570,Other Antidepressants
65482,Vortioxetine 5mg tablets,SSRI,30738811000001108,12306,Other Antidepressants
75848,Winfex XL 150mg capsules (Zentiva Pharma UK Ltd),SSRI,14954811000001106,10,Other Antidepressants
16969,Yentreve 20mg gastro-resistant capsules (Eli Lilly and Company Ltd),SSRI,8048811000001109,6723,Urinary Incontinence
14803,Yentreve 40mg gastro-resistant capsules (Eli Lilly and Company Ltd),SSRI,8049111000001109,4962,Urinary Incontinence
77377,Zispin 30mg tablets (Dowelhurst Ltd),SSRI,5562811000001106,253,Other Antidepressants
4726,Zispin 30mg tablets (Organon Laboratories Ltd),SSRI,523611000001107,57178,Other Antidepressants
67272,Zispin 30mg tablets (Waymade Healthcare Plc),SSRI,5430611000001106,87,Other Antidepressants
6846,Zispin SolTab 15mg orodispersible tablets (Organon Pharma (UK) Ltd),SSRI,5608811000001102,23794,Other Antidepressants
10083,Zispin SolTab 30mg orodispersible tablets (Organon Pharma (UK) Ltd),SSRI,4859711000001106,30887,Other Antidepressants
15268,Zispin SolTab 45mg orodispersible tablets (Organon Pharma (UK) Ltd),SSRI,5595811000001101,18481,Other Antidepressants
2394,Buspar 5mg tablets (IXL Pharma Ltd),Yes,365311000001106,62174,Anxiolytics
43240,Buspirone 5mg tablets (Viatris UK Healthcare Ltd),Yes,16630211000001108,14,Anxiolytics
28880,Buspirone 5mg Tablet (Galen Ltd),Yes,88965001000027100,602,Anxiolytics
61443,Buspirone 10mg tablets (A A H Pharmaceuticals Ltd),Yes,302511000001105,31,Anxiolytics
67263,Buspar 5mg tablets (Dowelhurst Ltd),Yes,5526911000001106,102,Anxiolytics
46847,Buspirone 10mg tablets (Accord-UK Ltd),Yes,67611000001106,27,Anxiolytics
49504,Buspar 10mg tablets (Lexon (UK) Ltd),Yes,16143211000001100,18,Anxiolytics
59095,Buspirone 5mg tablets (A A H Pharmaceuticals Ltd),Yes,741811000001105,72,Anxiolytics
40153,Buspirone 10mg Tablet (Galen Ltd),Yes,88975001000027100,244,Anxiolytics
5385,Buspirone 10mg tablets,Yes,39734311000001104,181198,Anxiolytics
9008,Buspar 10mg tablets (IXL Pharma Ltd),Yes,737211000001100,11602,Anxiolytics
86568,Buspirone 15mg tablets,Yes,40548711000001104,104,Anxiolytics
3574,Buspirone 5mg tablets,Yes,39734411000001104,443476,Anxiolytics
87911,Buspirone 5mg/5ml oral suspension,Yes,8304311000001104,11,Anxiolytics
45275,Buspirone 5mg tablets (Accord-UK Ltd),Yes,741511000001107,1976,Anxiolytics
83503,Buspar 5mg tablets (Lexon (UK) Ltd),Yes,16143011000001106,42,Anxiolytics
78957,Buspirone 7.5mg tablets,Yes,37236111000001104,81,Anxiolytics
