prodcode,productname,review,dmdcode,therapyevents,bnftext
603,Escitalopram 10mg tablets,SSRI,407915000,1328657,Selective Serotonin Re-Uptake Inhibitors (SSRI)
20152,Escitalopram 10mg/ml oral drops sugar free,SSRI,10364811000001108,2925,Selective Serotonin Re-Uptake Inhibitors (SSRI)
6218,Escitalopram 20mg tablets,SSRI,408067001,810712,Selective Serotonin Re-Uptake Inhibitors (SSRI)
40726,Escitalopram 20mg/ml oral drops sugar free,SSRI,15499311000001104,4326,Selective Serotonin Re-Uptake Inhibitors (SSRI)
6405,Escitalopram 5mg tablets,SSRI,409150001,420644,Selective Serotonin Re-Uptake Inhibitors (SSRI)
18932,Evadyne 25mg Tablet (Wyeth Pharmaceuticals),Yes,59185001000027104,196,Tricyclic And Related Antidepressants
12123,Faverin 100mg tablets (Viatris UK Healthcare Ltd),SSRI,595611000001101,8355,Selective Serotonin Re-Uptake Inhibitors (SSRI)
2897,Faverin 50mg tablets (Viatris UK Healthcare Ltd),SSRI,542511000001103,19050,Selective Serotonin Re-Uptake Inhibitors (SSRI)
67431,Fluoxetine 10mg capsules,Yes,373959000,55215,Selective Serotonin Re-Uptake Inhibitors (SSRI)
42499,Fluoxetine 10mg tablets,Yes,373965000,8201,Selective Serotonin Re-Uptake Inhibitors (SSRI)
38890,Fluoxetine 20mg Capsule (Milpharm Ltd),Yes,192045001000027100,37,Selective Serotonin Re-Uptake Inhibitors (SSRI)
22,Fluoxetine 20mg capsules,Yes,321949006,17114180,Selective Serotonin Re-Uptake Inhibitors (SSRI)
19183,Fluoxetine 20mg capsules (A A H Pharmaceuticals Ltd),Yes,723711000001104,2041,Selective Serotonin Re-Uptake Inhibitors (SSRI)
45329,Fluoxetine 20mg capsules (Actavis UK Ltd),Yes,335911000001100,48,Selective Serotonin Re-Uptake Inhibitors (SSRI)
75799,Fluoxetine 20mg capsules (Almus Pharmaceuticals Ltd),Yes,9799811000001108,26,Selective Serotonin Re-Uptake Inhibitors (SSRI)
45247,Fluoxetine 20mg capsules (Fannin (UK) Ltd),Yes,18074311000001104,23,Selective Serotonin Re-Uptake Inhibitors (SSRI)
34294,Fluoxetine 20mg capsules (IVAX Pharmaceuticals UK Ltd),Yes,258111000001102,2082,Selective Serotonin Re-Uptake Inhibitors (SSRI)
34288,Fluoxetine 20mg capsules (Viatris UK Healthcare Ltd),Yes,252411000001105,3047,Selective Serotonin Re-Uptake Inhibitors (SSRI)
19470,Fluoxetine 20mg capsules (Ranbaxy (UK) Ltd),Yes,166911000001109,14,Selective Serotonin Re-Uptake Inhibitors (SSRI)
45224,Fluoxetine 20mg capsules (Sandoz Ltd),Yes,527811000001100,19,Selective Serotonin Re-Uptake Inhibitors (SSRI)
34456,Fluoxetine 20mg capsules (Teva UK Ltd),Yes,756611000001101,216,Selective Serotonin Re-Uptake Inhibitors (SSRI)
34849,Fluoxetine 20mg capsules (Tillomed Laboratories Ltd),Yes,13751411000001100,10,Selective Serotonin Re-Uptake Inhibitors (SSRI)
45316,Fluoxetine 20mg capsules (Wockhardt UK Ltd),Yes,12909311000001100,22,Selective Serotonin Re-Uptake Inhibitors (SSRI)
33410,Fluoxetine 20mg capsules (Zentiva Pharma UK Ltd),Yes,560111000001104,40,Selective Serotonin Re-Uptake Inhibitors (SSRI)
60534,Fluoxetine 20mg dispersible tablets sugar free,Yes,24407811000001108,4872,Selective Serotonin Re-Uptake Inhibitors (SSRI)
60138,Fluoxetine 20mg orodispersible tablets sugar free,Yes,24128411000001104,22,Selective Serotonin Re-Uptake Inhibitors (SSRI)
2548,Fluoxetine 20mg/5ml oral solution,Yes,321951005,249697,Selective Serotonin Re-Uptake Inhibitors (SSRI)
34216,Fluoxetine 20mg/5ml oral solution (A A H Pharmaceuticals Ltd),Yes,437511000001107,64,Selective Serotonin Re-Uptake Inhibitors (SSRI)
42803,Fluoxetine 20mg/5ml oral solution (IVAX Pharmaceuticals UK Ltd),Yes,4576111000001104,23,Selective Serotonin Re-Uptake Inhibitors (SSRI)
60619,Fluoxetine 20mg/5ml oral solution (Kent Pharma (UK) Ltd),Yes,321711000001101,17,Selective Serotonin Re-Uptake Inhibitors (SSRI)
73414,Fluoxetine 20mg/5ml oral solution (Pinewood Healthcare),Yes,13621511000001108,15,Selective Serotonin Re-Uptake Inhibitors (SSRI)
30258,Fluoxetine 20mg/5ml oral solution (Teva UK Ltd),Yes,263811000001105,29,Selective Serotonin Re-Uptake Inhibitors (SSRI)
36893,Fluoxetine 20mg/5ml oral solution sugar free,Yes,11590211000001106,32802,Selective Serotonin Re-Uptake Inhibitors (SSRI)
67496,Fluoxetine 30mg capsules,Yes,32960811000001104,21967,Selective Serotonin Re-Uptake Inhibitors (SSRI)
79590,Fluoxetine 30mg capsules (Medreich Plc),Yes,32938711000001100,18,Selective Serotonin Re-Uptake Inhibitors (SSRI)
67562,Fluoxetine 40mg capsules,Yes,376803002,58886,Selective Serotonin Re-Uptake Inhibitors (SSRI)
78889,Fluoxetine 40mg capsules (Medreich Plc),Yes,32939011000001108,166,Selective Serotonin Re-Uptake Inhibitors (SSRI)
4075,Fluoxetine 60mg capsules,Yes,321954002,221710,Selective Serotonin Re-Uptake Inhibitors (SSRI)
79494,Fluoxetine 60mg capsules (A A H Pharmaceuticals Ltd),Yes,9530611000001108,23,Selective Serotonin Re-Uptake Inhibitors (SSRI)
34856,Fluoxetine 60mg capsules (Viatris UK Healthcare Ltd),Yes,3962111000001101,168,Selective Serotonin Re-Uptake Inhibitors (SSRI)
2290,Fluvoxamine 100mg tablets,SSRI,321947008,46042,Selective Serotonin Re-Uptake Inhibitors (SSRI)
2880,Fluvoxamine 50mg tablets,SSRI,321945000,60853,Selective Serotonin Re-Uptake Inhibitors (SSRI)
43968,Foraven XL 75mg capsules (Forum Products Ltd),SSRI,15414911000001104,44,Other Antidepressants
2093,Gamanil 70mg tablets (Merck Serono Ltd),Yes,95011000001108,170816,Tricyclic And Related Antidepressants
3668,IMIPRAMINE 100 MG TAB,Yes,101595001000027100,1584,Unknown
1310,Imipramine 10mg tablets,Yes,321816001,158082,Tricyclic And Related Antidepressants/Nocturnal Enuresis
34222,Imipramine 10mg tablets (Accord-UK Ltd),Yes,424211000001100,161,Tricyclic And Related Antidepressants/Nocturnal Enuresis
