prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
39355,19,87452020,Tritace 10mg Tablet (Sterwin Medicines),Ramipril,10mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,April 2009
9915,17178,87063020,Tritace 10mg tablets (Sanofi),Ramipril,10mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
29964,2,05959007,TRITACE 2.5 MG TAB,,,,,00000000,Unknown,February 2009
5275,23232,72670020,Tritace 2.5mg capsules (Sanofi),Ramipril,2.5mg,Capsule,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
6364,8378,87059020,Tritace 2.5mg tablets (Sanofi),Ramipril,2.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
5735,31017,72671020,Tritace 5mg capsules (Sanofi),Ramipril,5mg,Capsule,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
6362,11070,87061020,Tritace 5mg tablets (Sanofi),Ramipril,5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
6200,1678,85253020,Tritace titration pack capsules (Sanofi),,,Not applicable,Route of administration not applicable,00000000,Unknown,February 2009
39421,1255,95113020,Tritace titration pack tablets (Sanofi),,,Not applicable,Route of administration not applicable,02050501,Angiotensin-converting Enzyme Inhibitors,April 2009
19690,7090,85865020,Verapamil 180mg modified-release / Trandolapril 2mg capsules,Verapamil hydrochloride/Trandolapril,180mg + 2mg,Modified-release capsule,Oral,02050501/02060200,Angiotensin-converting Enzyme Inhibitors/Calcium-channel Blockers,February 2009
6359,24630,51463020,Zestoretic 10- 10mg+12.5mg Tablet (AstraZeneca UK Ltd),Lisinopril/Hydrochlorothiazide,10mg + 12.5mg,Tablet,Oral,02020100/02050501,Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors,February 2009
39137,4420,95875020,Zestoretic 10 tablets (AstraZeneca UK Ltd),Lisinopril/Hydrochlorothiazide,10mg + 12.5mg,Tablet,Oral,02020100/02050501,Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors,April 2009
57539,292,01503020,Zestoretic 10 tablets (Sigma Pharmaceuticals Plc),Lisinopril/Hydrochlorothiazide,10mg + 12.5mg,Tablet,Oral,02020100/02050501,Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors,October 2013
71115,114,01500020,Zestoretic 10 tablets (Waymade Healthcare Plc),Lisinopril/Hydrochlorothiazide,10mg + 12.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,December 2017
2982,73101,51462020,Zestoretic 20- 20mg+12.5mg Tablet (AstraZeneca UK Ltd),Lisinopril/Hydrochlorothiazide,20mg + 12.5mg,Tablet,Oral,02020100/02050501,Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors,February 2009
38995,13654,95877020,Zestoretic 20 tablets (AstraZeneca UK Ltd),Lisinopril/Hydrochlorothiazide,20mg + 12.5mg,Tablet,Oral,02020100/02050501,Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors,February 2009
6806,121126,68564020,Zestril 10mg tablets (AstraZeneca UK Ltd),Lisinopril,10mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
3720,57122,68562020,Zestril 2.5mg tablets (AstraZeneca UK Ltd),Lisinopril,2.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
57588,165,01446020,Zestril 2.5mg tablets (Mawdsley-Brooks & Company Ltd),Lisinopril,2.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,October 2013
8268,91376,68567020,Zestril 20mg tablets (AstraZeneca UK Ltd),Lisinopril,20mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
56510,326,01481020,Zestril 20mg tablets (Sigma Pharmaceuticals Plc),Lisinopril,20mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,August 2013
6807,120882,68563020,Zestril 5mg tablets (AstraZeneca UK Ltd),Lisinopril,5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
56505,1193,01458020,Zestril 5mg tablets (Lexon (UK) Ltd),Lisinopril,5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,August 2013
