prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,intdrug
74689,24342811000001104,23047021,0,Diltiazem 240mg modified-release capsules (Ennogen Pharma Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2019,1
73633,9784311000001104,70943020,0,Amiodarone 200mg tablets (Almus Pharmaceuticals Ltd),Amiodarone hydrochloride,200mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,November 2018,1
219,39024011000001110,72563020,140776,Diltiazem 120mg modified-release tablets,Diltiazem hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
4970,41790411000001104,76411020,589,Leflunomide 100mg tablets,Leflunomide,100mg,Tablet,Oral,10010302,Drugs Affecting The Immune Response In Rheumatic Disease,February 2009,1
68723,30031911000001104,53526021,0,Clarithromycin 125mg/5ml oral suspension (DE Pharmaceuticals),Clarithromycin,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,January 2017,1
81346,30131611000001108,53538021,0,Fluconazole 200mg capsules (Mawdsley-Brooks & Company Ltd),Fluconazole,200mg,Capsule,Oral,05020100,Triazole Antifungals,July 2020,1
23505,216725001000027100,81470020,30,Adizem xl plus 150mg+12.5mg Modified-release capsule (Napp Pharmaceuticals Ltd),Diltiazem Hydrochloride/Hydrochlorothiazide,150mg+12.5mg,Modified-Release Capsule,Oral,02020100/02060200,Thiazides And Related Diuretics/Calcium-Channel Blockers,February 2009,1
38545,261611000001107,95521020,448641,Tildiem LA 200 capsules (Sanofi),Diltiazem hydrochloride,200mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
833,8798511000001101,89966020,426,Warfarin 3mg/5ml oral solution,Warfarin sodium,600microgram/1ml,Oral solution,Oral,02080200,Oral Anticoagulants,February 2009,1
401,89745001000027100,59397020,221519,Erythromycin 500mg ec gastro-resistant tablets,Erythromycin,500mg,Gastro-Resistant Tablets,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
75224,7458911000001101,69372020,0,Fluconazole 150mg capsules (Ranbaxy (UK) Ltd),Fluconazole,150mg,Capsule,Oral,05020100,Triazole Antifungals,March 2019,1
38632,2887011000001102,95541020,191680,Adizem-SR 90mg capsules (Napp Pharmaceuticals Ltd),Diltiazem hydrochloride,90mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
15251,209345001000027100,79108020,369,Pregnacare Capsule (Vitabiotics Ltd),Ascorbic Acid/Copper/Folic Acid/Iodine/Iron/Magnesium/Nicotinic Acid/Riboflavin/Pyridoxine/Soya Oil/Vitamin D/Zinc/Alpha Tocopheryl Hydrogen Succinate/Selenium/Beta Carotene/Vitamin K/Thiamine/Vitamin B12,,Capsule,Oral,09060750,-,February 2009,1
17207,14675001000027104,49901020,3268,Ilosone 250mg Capsule (Dista Products Ltd),Erythromycin Lactobionate,250mg,Capsule,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
33685,919211000001106,54613020,2606,Erythromycin 250mg gastro-resistant tablets (Teva UK Ltd),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
51984,17503311000001108,05850020,1,Erythrocin 500 tablets (Mawdsley-Brooks & Company Ltd),Erythromycin stearate,500mg,Tablet,Oral,05010500,Macrolides,January 2013,1
4852,181525001000027100,72558020,42833,Adizem sr 120mg Modified-release tablet (Napp Pharmaceuticals Ltd),Diltiazem hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
34299,437711000001102,55824020,17428,Warfarin 1mg tablets (Teva UK Ltd),Warfarin sodium,1mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
188,318187007,60110020,1709713,Amiodarone 200mg tablets,Amiodarone hydrochloride,200mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,February 2009,1
80701,37911311000001104,90632021,0,Erythromycin stearate 250mg tablets (Key Pharmaceuticals Ltd),Erythromycin stearate,250mg,Tablet,Oral,05010500,Macrolides,May 2020,1
39010,211000001101,95829020,939,Klaricid Paediatric 250mg/5ml oral suspension (Viatris UK Healthcare Ltd),Clarithromycin,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
47676,12665001000027102,49629020,1,Erythromycin 500mg/5ml Liquid (C P Pharmaceuticals Ltd),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,August 2012,1
58175,20097311000001108,79037020,18,Clarithromycin 500mg tablets (Wockhardt UK Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,December 2013,1
34512,9563611000001104,64325020,28,Erythromycin 250mg gastro-resistant capsules (Teva UK Ltd),Erythromycin,250mg,Gastro-resistant capsule,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
74651,398811000001108,56959020,1,Erythromycin ethyl succinate 250mg/5ml oral suspension (Actavis UK Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2019,1
3943,39021011000001104,68474020,209952,Verapamil 240mg modified-release capsules,Verapamil hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
20642,228225001000027100,84957020,234,Bi-carzem sr 60mg Modified-release capsule (Tillomed Laboratories Ltd),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
17492,866811000001107,84732020,72232,Zemtard 300 XL capsules (Galen Ltd),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
45591,18149211000001104,99227020,48,Clarie XL 500mg tablets (Teva UK Ltd),Clarithromycin,500mg,Modified-release tablet,Oral,05010500,Macrolides,June 2011,1
42637,16306511000001108,97772020,248,Deximune 25mg capsules (Dexcel-Pharma Ltd),Ciclosporin,25mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,June 2010,1
79116,30755511000001104,57273021,0,Diltiazem 180mg modified-release capsules (J M McGill Ltd),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,December 2019,1
36957,41761311000001110,92353020,9,Dasatinib 70mg tablets,Dasatinib monohydrate,70mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,February 2009,1
74382,29852611000001104,52264021,3,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,January 2019,1
30234,190825001000027100,74143020,32,Erythromycin ethylsuccinate 125mg sachets,Erythromycin Ethyl Succinate,125mg,Sachets,Oral,05010500,Macrolides,February 2009,1
18223,232125001000027100,85883020,882,Trandolapril with verapamil 2mg + 180mg Modified-release capsule,Trandolapril/Verapamil Hydrochloride,2mg + 180mg,Modified-Release Capsule,Oral,02050501/02060200,Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)/Calcium-Channel Blockers,February 2009,1
3732,120425001000027100,63875020,585,Ketoconazole 100mg/5ml Oral solution,Ketoconazole,100mg/5ml,Oral Solution,Oral,05020000,Antifungals,February 2009,1
16035,41759811000001110,69119020,1808,Ciclosporin 10mg capsules,Ciclosporin,10mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,February 2009,1
75358,30810111000001104,57353021,0,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Mawdsley-Brooks & Company Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,March 2019,1
47325,15164311000001100,96688020,25,Prezista 400mg tablets (Janssen-Cilag Ltd),Darunavir,400mg,Tablet,Oral,05030151,Protease Inhibitors,June 2012,1
71435,10308511000001104,70469020,1,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Focus Pharmaceuticals Ltd),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,January 2018,1
82496,5423011000001107,01876020,97,Tildiem LA 300mg capsules (Waymade Healthcare Plc),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,January 2021,1
83450,569211000001103,65543020,0,Verapamil 80mg tablets (Kent Pharma (UK) Ltd),Verapamil hydrochloride,80mg,Tablet,Oral,02060200,Calcium-Channel Blockers,April 2021,1
52411,18271111000001100,05890020,14,Klaricid 250mg tablets (Necessity Supplies Ltd),Clarithromycin,250mg,Tablet,Oral,05010500,Macrolides,January 2013,1
17645,9742511000001108,89865020,467,Clarithromycin 250mg granules straws,Clarithromycin,250mg,Granules,Oral,00000000,Unknown,February 2009,1
4672,36564711000001104,60848020,253028,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free,Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
66469,298711000001106,08447020,6,Colchicine 500microgram tablets (Alliance Healthcare (Distribution) Ltd),Colchicine,500microgram,Tablet,Oral,10010450,Acute Attacks Of Gout,June 2016,1
69403,32800711000001104,69033021,0,Erythromycin 250mg gastro-resistant tablets (Genesis Pharmaceuticals Ltd),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,May 2017,1
60190,24099111000001104,23095021,0,Erythromycin 250mg gastro-resistant tablets (Waymade Healthcare Plc),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,June 2014,1
