prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild
56181,31775001000027100,51950020,0,Tetracycline 250mg Tablet (Celltech Pharma Europe Ltd),Tetracycline hydrochloride,250mg,Tablet,Oral,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,August 2013
18476,41787611000001104,51600020,26,Fludarabine phosphate 10mg tablets,Fludarabine phosphate,10mg,Tablet,Oral,08010300,Antimetabolites,February 2009
39279,13665911000001108,95364020,8280,Epilim Chronosphere MR 500mg granules sachets (Sanofi),Sodium valproate,500mg,Modified-release granules,Oral,04080100,Control Of Epilepsy,April 2009
36608,65295001000027110,56226020,601,Co-codamol Effervescent tablet (A A H Pharmaceuticals Ltd),Codeine phosphate/Paracetamol,30mg + 500mg,Effervescent tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
67541,8276211000001100,18952020,96,Amiodarone 50mg/5ml oral suspension,Amiodarone hydrochloride,10mg/1ml,Oral suspension,Oral,02030201,Supraventricular & Ventricular Arrhythmias,September 2016
36182,7961211000001109,88324020,1,VFEND 40mg/ml oral suspension (Pfizer Ltd),Voriconazole,40mg/1ml,Oral suspension,Oral,05020100,Triazole Antifungals,February 2009
53364,4435711000001101,14042020,0,Generic Trizivir tablets,Lamivudine/Abacavir sulfate/Zidovudine,150mg + 300mg + 300mg,Tablet,Oral,05030150,Nucleoside Reverse Transcriptase Inhibitors,January 2013
60979,24136011000001104,23121021,14,Methotrexate 2.5mg tablets (Morningside Healthcare Ltd),Methotrexate,2.5mg,Tablet,Oral,01050300/08010300/10010302/13050300,Products Affecting The Immune Response In Chronic Bowel Problems/Antimetabolites/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,August 2014
4951,396211000001106,67905020,154118,Tetralysal 300 capsules (Galderma (UK) Ltd),Lymecycline,408mg,Capsule,Oral,05010300,Tetracyclines,February 2009
82514,16564411000001104,10716020,57,Niaspan 1g modified-release tablets (Mawdsley-Brooks & Company Ltd),Nicotinic acid,1gram,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,January 2021
84952,186675001000027100,73391020,0,Mu-cron Tablet (Novartis Consumer Health UK Ltd),Paracetamol/Phenylpropanolamine Hydrochloride,,Tablet,,03090200/04070100,Demulcent And Expectorant Cough Preparations/Non-Opioid And Compound Analgesics,November 2021
22076,16785001000027108,50145020,84,Ledermycin 300mg Tablet (Wyeth Pharmaceuticals),Demeclocycline Hydrochloride,300mg,Tablet,Oral,05010300/06050200,Tetracyclines/Posterior Pituitary Hormones And Antagonists,February 2009
46640,265375001000027100,00008021,2,"Vitamin a, c & d with multivitamins & minerals tablets",Pantothenic Acid/Biotin/Ascorbic Acid/Vitamin A Acetate/Copper Sulphate/Folic Acid/Ferrous Fumarate/Manganese Sulphate/Nicotinamide/Potassium Chloride/Potassium Iodide/Pyridoxine Hydrochloride/Riboflavin/Alpha Tocopheryl Acetate/Vitamin D/Zinc,,Tablets,Oral,09060750,-,January 2012
32588,4576511000001108,87748020,3,Dentomycin 2% dental gel (Henry Schein Ltd),Minocycline hydrochloride,20mg/1ml,Dental gel,Dental/Gingival,05010300/12030200,Tetracyclines/Oropharyngeal Anti-Infective Drugs,February 2009
79780,35045811000001104,79426021,1,Paracetamol 20mg suppositories,Paracetamol,20mg,Suppository,Rectal,04070100,Non-Opioid And Compound Analgesics,January 2020
30590,175905001000027100,71663020,1,Medised Tablet (SSL International Plc),Paracetamol/Promethazine Hydrochloride,,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
87660,37863911000001104,90631021,0,Co-dydramol 10mg/500mg tablets (Accord-UK Ltd),Dihydrocodeine tartrate/Paracetamol,10mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2023
17226,88985001000027100,59279020,1,Economycin 250mg Capsule (DDSA Pharmaceuticals Ltd),Tetracycline hydrochloride,250mg,Capsule,Oral,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,February 2009
23079,7503511000001104,87844020,599,Testosterone 30mg modified-release muco-adhesive buccal tablets,Testosterone,30mg,Muco-adhesive buccal tablet,Buccal,06040200,Male Sex Hormones And Antagonists,February 2009
77482,28046111000001104,43062021,1,Adjusan 36.4mg/260mg periodontal gel cartridge (Heraeus),Doxycycline hyclate,140mg/1gram,Oromucosal gel,Oromucosal,05010300/12030200,Tetracyclines/Oropharyngeal Anti-Infective Drugs,August 2019
65904,29795811000001108,52235021,0,Co-codamol 8mg/500mg capsules (Sigma Pharmaceuticals Plc),Codeine phosphate/Paracetamol,8mg + 500mg,Capsule,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,April 2016
52333,12701711000001106,32789020,0,Mercaptopurine 75mg/5ml oral suspension,Mercaptopurine,15mg/1ml,Oral suspension,Oral,01050300/08010300,Products Affecting The Immune Response In Chronic Bowel Problems/Antimetabolites,January 2013
25975,219065001000027100,82165020,242,Vitamins a & d ONE A DAY capsules,Vitamin A/Vitamin D,,One A Day Capsules,Oral,09060100/09060400,Vitamin A/Vitamin D,February 2009
22352,221735001000027100,82989020,53,Zinc with vitamins tablets,Zinc Oxide/Vitamin A/Ascorbic Acid/Alpha Tocopherol,,Tablets,Oral,09050400/09060700,Zinc/Multivitamin And Multimineral Preparations,February 2009
47552,39702011000001110,98706020,36,Pazopanib 200mg tablets,Pazopanib hydrochloride,200mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,August 2012
66097,19742711000001104,38532020,1,Paracetamol 500mg capsules (Almus Pharmaceuticals Ltd),Paracetamol,500mg,Capsule,Oral,04070100,Non-Opioid And Compound Analgesics,May 2016
20951,683611000001105,62982020,893,Methotrexate 2.5mg tablets (Advanz Pharma),Methotrexate,2.5mg,Tablet,Oral,01050300/08010300/10010302/13050300,Products Affecting The Immune Response In Chronic Bowel Problems/Antimetabolites/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,February 2009
73122,16172211000001108,04820020,1,Epilim Chrono 300 tablets (Lexon (UK) Ltd),Sodium valproate,300mg,Modified-release tablet,Oral,04080100,Control Of Epilepsy,September 2018
23114,154745001000027100,68468020,253,Panaleve plus 120mg/5ml Oral suspension sugar free (Pinewood Healthcare),Paracetamol,120mg/5ml,Oral Suspension,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
59922,8819511000001105,56773020,0,Minocycline 100mg tablets (Teva UK Ltd),Minocycline hydrochloride,100mg,Tablet,Oral,05010300/05011000/13060201,Tetracyclines/Antileprotic Drugs/Oral Antibacterials For Acne,May 2014
36945,8982411000001108,55159020,34,Mandanol 6+ paracetamol 250mg/5ml oral suspension (M & A Pharmachem Ltd),Paracetamol,50mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
24245,199745001000027100,76059020,340,Cyclomin 100mg Tablet (Berk Pharmaceuticals Ltd),Minocycline hydrochloride,100mg,Tablet,Oral,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,February 2009
3816,31335001000027104,51902020,185,Tetrachel 250mg Tablet (Berk Pharmaceuticals Ltd),Tetracycline hydrochloride,250mg,Tablet,Oral,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,February 2009
24996,173735001000027100,71309020,32,Codeine phosphate 8mg with paracetamol 500mg with buclizine 6.25mg tablets,Buclizine Hydrochloride/Codeine Phosphate/Paracetamol,8mg+500mg+6.25mg,Tablets,Oral,03040102/04070401,Sedating Antihistamines/Acute Migraine,February 2009
87815,40371011000001110,01126022,0,Sodium valproate 200mg gastro-resistant tablets (DE Pharmaceuticals),Sodium valproate,200mg,Gastro-resistant tablet,Oral,04080100,Control Of Epilepsy,March 2023
33340,165815001000027100,70228020,10,Co-dydramol 10mg+500mg/5ml Liquid (Rosemont Pharmaceuticals Ltd),Dihydrocodeine tartrate/Paracetamol,2mg/1ml + 100mg/1ml,Oral suspension,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
6560,39108411000001110,81319020,114189,Sodium valproate 500mg modified-release tablets,Sodium valproate,500mg,Modified-release tablet,Oral,04080100,Control Of Epilepsy,February 2009
10901,175875001000027100,71660020,111,Paracetamol with promethazine hydrochloride 120mg+1.5mg/5ml suspension,Paracetamol/Promethazine Hydrochloride,120mg+1.5mg/5ml,Suspension,Oral,03040102/04070100,Sedating Antihistamines/Non-Opioid And Compound Analgesics,February 2009
64932,4934211000001105,14675020,0,Generic Night Nurse capsules,Dextromethorphan hydrobromide/Paracetamol/Promethazine hydrochloride,7.5mg + 500mg + 10mg,Capsule,Oral,03095000,Miscellaneous Cough & Cold Preparations,December 2015
79026,489311000001104,59154020,7,Flutamide 250mg tablets (Teva UK Ltd),Flutamide,250mg,Tablet,Oral,08030402,Prostate Cancer,December 2019
124,247711000001104,49037020,6858,Distalgesic 32.5mg/325mg tablets (Meda Pharmaceuticals Ltd),Dextropropoxyphene hydrochloride/Paracetamol,32.5mg + 325mg,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
47200,9110711000001100,00453021,3,Propain Plus caplets (Ceuta Healthcare Ltd),Paracetamol/Doxylamine succinate/Caffeine/Codeine phosphate,450mg + 5mg + 30mg + 10mg,Tablet,Oral,04070000,Analgesics,May 2012
51595,9092111000001108,21194020,1279,Calpol Infant 120mg/5ml oral suspension 5ml sachets (McNeil Products Ltd),Paracetamol,24mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,January 2013
27856,211575001000027100,79746020,101,Midrid (rpr) Capsule (Rhone-Poulenc Rorer Ltd),Paracetamol/Isometheptene mucate,325mg + 65mg,Capsule,Oral,04070100/04070401,Non-Opioid And Compound Analgesics/Acute Migraine,February 2009
66352,32399311000001108,62276021,60,Co-codamol 8mg/500mg caplets (Kent Pharma (UK) Ltd),Codeine phosphate/Paracetamol,8mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,June 2016
42583,246165001000027100,92631020,1,"Multivitamins with minerals, trace elements and ginseng Capsule",Lecithin/Nicotinamide/Calcium Phosphate/Magnesium Sulphate Heptahydrate/Copper Sulphate/Biotin/Cyanocobalamin/Ginseng/Pyridoxine Hydrochloride/Thiamine/Vitamin A/Sodium Selenite/Zinc Sulphate/Ferrous Sulphate/Ascorbic Acid/Riboflavin/Alpha Tocopheryl Acetate/Colecalciferol/Folic Acid,,Capsule,Oral,09060750,-,June 2010
44977,209905001000027100,79255020,2,Paracetamol with pseudoephedrine & pholcodine 500mg with 30mg with 5mg/15ml oral liquid,Paracetamol/Pholcodine/Pseudoephedrine Hydrochloride,500mg + 30mg + 5mg/15ml,Oral Liquid,Oral,03090100/04070100,Cough Suppressants/Non-Opioid And Compound Analgesics,April 2011
57650,15154511000001100,04248020,0,Paracetamol 500mg capsules (Sigma Pharmaceuticals Plc),Paracetamol,500mg,Capsule,Oral,04070100,Non-Opioid And Compound Analgesics,October 2013
40662,15737811000001102,76720020,14,Co-codamol 8mg/500mg effervescent tablets (Actavis UK Ltd),Codeine phosphate/Paracetamol,8mg + 500mg,Effervescent tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,October 2009
41560,62085001000027104,55777020,34,Doxycycline 100mg Capsule (IVAX Pharmaceuticals UK Ltd),Doxycycline hyclate,100mg,Capsule,Oral,05010300/05040100,Tetracyclines/Antimalarials,March 2010
33482,41772711000001110,88322020,182,Voriconazole 200mg/5ml oral suspension,Voriconazole,40mg/1ml,Oral suspension,Oral,05020100,Triazole Antifungals,February 2009
45231,113105001000027100,62832020,3,Co-proxamol 32.5mg+325mg Tablet (Regent Laboratories Ltd),Dextropropoxyphene hydrochloride/Paracetamol,32.5mg + 325mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,May 2011
79373,10835001000027108,49357020,60,Co-dydramol 10mg+500mg Tablet (Napp Pharmaceuticals Ltd),Dihydrocodeine tartrate/Paracetamol,10mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,December 2019
8613,41954611000001104,66524020,4167,Rifampicin 300mg / Isoniazid 150mg tablets,Rifampicin/Isoniazid,300mg + 150mg,Tablet,Oral,05010900,Antituberculosis Drugs,February 2009
36633,11475611000001100,93465020,3435,Episenta 150mg modified-release capsules (Desitin Pharma Ltd),Sodium valproate,150mg,Modified-release capsule,Oral,04080100,Control Of Epilepsy,February 2009
57865,22786711000001104,17206021,8758,Co-codamol 30mg/500mg caplets (Actavis UK Ltd),Codeine phosphate/Paracetamol,30mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,December 2013
40626,11763011000001104,92907020,34,Lenalidomide 25mg capsules,Lenalidomide,25mg,Capsule,Oral,08020405,Lenalidomide And Thalidomide,October 2009
58968,3644411000001109,07877020,100,Vitamins A and D capsules BPC 1973 (Alliance Healthcare (Distribution) Ltd),Vitamin A/Vitamin D,4000unit + 400unit,Capsule,Oral,09060100/09060400,Vitamin A/Vitamin D,March 2014
12730,221665001000027100,82962020,267,"Vitamin c with vitamins, minerals & other ingredients tablets",Betacarotene/Cyanocobalamin/Iron/Ginkgo Biloba/Ginseng/Pyridoxine Hydrochloride/Thiamine Hydrochloride/Vitamin A/Vitamin D/Pantothenic Acid/Ascorbic Acid/Riboflavin/Potassium/Alpha Tocopherol/Copper/Nicotinic Acid/Folic Acid,,Tablets,Oral,09010101/09060700,Oral Iron/Multivitamin And Multimineral Preparations,February 2009
34865,10585001000027104,49324020,52,Co-codamol 8mg+500mg Tablet (C P Pharmaceuticals Ltd),Codeine phosphate/Paracetamol,8mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
7176,41736011000001104,50433020,5077,Acitretin 25mg capsules,Acitretin,25mg,Capsule,Oral,13050201,Oral Retinoids For Psoriasis,February 2009
82295,28036611000001104,40658021,1,Sodium valproate 200mg modified-release tablets (Ennogen Healthcare Ltd),Sodium valproate,200mg,Modified-release tablet,Oral,04080100,Control Of Epilepsy,January 2021
43538,47611000001101,50711020,16,Tetracycline 250mg tablets (A A H Pharmaceuticals Ltd),Tetracycline hydrochloride,250mg,Tablet,Oral,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,September 2010
60816,24576611000001104,26705021,822,Healthy Start Children's Vitamin drops (Secretary of State for Health),Vitamin A/Sodium ascorbate/Vitamin A and D3 concentrate/Vitamin D/Ascorbic acid,5000iu/1ml + 18.58mg/1ml + .55mg/1ml + 2000iu/1ml + 150mg/1ml,Oral drops,Oral,09060700,Multivitamin And Multimineral Preparations,August 2014
687,7381611000001100,87622020,199626,Tramacet 37.5mg/325mg tablets (Grunenthal Ltd),Paracetamol/Tramadol hydrochloride,325mg + 37.5mg,Tablet,Oral,04070200,Opioid Analgesics,February 2009
20068,70785001000027104,57017020,4364,Paracetamol 250mg/5ml oral suspension sugar free,Paracetamol,250mg/5ml,Suspension Sugar-Free,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
48816,8149511000001105,04266020,4886,Disprol Paracetamol 120mg/5ml oral suspension (Reckitt Benckiser Healthcare (UK) Ltd),Paracetamol,24mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,January 2013
6891,41771711000001104,88426020,912,Thalidomide 50mg capsules,Thalidomide,50mg,Capsule,Oral,05011000/08020405,Antileprotic Drugs/Lenalidomide And Thalidomide,February 2009
71095,17942111000001100,05807020,0,Minocycline 50mg tablets (Phoenix Healthcare Distribution Ltd),Minocycline hydrochloride,50mg,Tablet,Oral,05010300/05011000/13060201,Tetracyclines/Antileprotic Drugs/Oral Antibacterials For Acne,December 2017
7340,41784111000001104,77574020,122,Capecitabine 150mg tablets,Capecitabine,150mg,Tablet,Oral,08010300,Antimetabolites,February 2009
59442,23651811000001108,21373021,2705,Co-codamol 30mg/500mg caplets (Phoenix Healthcare Distribution Ltd),Codeine phosphate/Paracetamol,30mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,April 2014
34495,330611000001103,59020020,25,Co-codamol 8mg/500mg tablets (Viatris UK Healthcare Ltd),Codeine phosphate/Paracetamol,8mg + 500mg,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
50166,4932511000001103,14652020,1,Generic Anadin Extra tablets,Aspirin/Paracetamol/Caffeine,300mg + 200mg + 45mg,Tablet,Oral,04070500,Other Non Opioid Analgesics,January 2013
60102,23223411000001108,17433021,34,Sodium valproate 500mg modified-release tablets (J M McGill Ltd),Sodium valproate,500mg,Modified-release tablet,Oral,04080100,Control Of Epilepsy,June 2014
47081,259785001000027100,98453020,4,Paracetamol 500mg with codeine phosphate 12.8mg & caffeine 30mg effervescent tablet,Caffeine/Codeine Phosphate/Paracetamol,500mg + 12.8mg + 30mg,Effervescent Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,May 2012
35517,8275411000001105,92749020,463,Amiodarone 25mg/5ml oral suspension,Amiodarone hydrochloride,5mg/1ml,Oral suspension,Oral,02030201,Supraventricular & Ventricular Arrhythmias,February 2009
38363,250785001000027100,94751020,50,Codeine phosphate 12.8mg with paracetamol 500mg tablets,Codeine Phosphate/Paracetamol,12.8mg + 500mg,Tablets,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
11075,195405001000027100,74930020,21757,Sodium valproate with valproic acid 500mg modified release tablets,Sodium Valproate,500mg,Modified Release Tablet,Oral,04080100,Control Of Epilepsy,February 2009
7104,7336011000001106,87756020,6683,Kapake 30mg/500mg effervescent tablets (Galen Ltd),Codeine phosphate/Paracetamol,30mg + 500mg,Effervescent tablet,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
30994,4931111000001102,73394020,2,De Witt's Analgesic Pills (E.C. DeWitt and Company Ltd),Paracetamol/Caffeine,367mg + 30mg,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
80973,8611000001108,04807020,0,Sodium valproate 500mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),Sodium valproate,500mg,Gastro-resistant tablet,Oral,04080100,Control Of Epilepsy,June 2020
56652,17462311000001108,98710020,2,Votrient 200mg tablets (Novartis Pharmaceuticals UK Ltd),Pazopanib hydrochloride,200mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,August 2013
49954,9553011000001108,21638020,0,Generic Cold and Flu Relief tablets,Paracetamol/Ascorbic acid/Caffeine anhydrous/Phenylephrine hydrochloride,400mg + 50mg + 30mg + 5mg,Tablet,Oral,03095000,Miscellaneous Cough & Cold Preparations,January 2013
4522,42335001000027104,53318020,12283,Rifinah 300 Tablet (Aventis Pharma),Rifampicin/Isoniazid,300mg + 150mg,Tablet,Oral,05010900,Antituberculosis Drugs,February 2009
17093,3555001000027106,48423020,0,Bisolvomycin Capsule (Boehringer Ingelheim Ltd),Bromhexine/Oxytetracycline Hydrochloride,,Capsule,Oral,05010300,Tetracyclines,February 2009
9361,3348411000001109,59271020,32,Oxymycin 250mg tablets (Dr Reddy's Laboratories (UK) Ltd),Oxytetracycline dihydrate,250mg,Tablet,Oral,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,February 2009
132,131425001000027100,65333020,159886,Oxytetracycline 250mg capsules,Oxytetracycline Dihydrate,250mg,Capsules,Oral,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,February 2009
64073,807611000001109,04263020,78,Paracetamol 120mg/5ml oral suspension paediatric sugar free (Alliance Healthcare (Distribution) Ltd),Paracetamol,24mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,August 2015
1616,3361311000001102,84213020,376161,Migraleve Pink tablets (McNeil Products Ltd),Buclizine hydrochloride/Paracetamol/Codeine phosphate,6.25mg + 500mg + 8mg,Tablet,Oral,04070200/04070401,Opioid Analgesics/Acute Migraine,February 2009
42038,15439411000001102,97038020,5434,Epilim Chronosphere MR 1000mg granules sachets (Sanofi),Sodium valproate,1gram,Modified-release granules,Oral,04080100,Control Of Epilepsy,April 2010
28061,53135001000027104,54672020,6,Mynah 365 Tablet (Wyeth Pharmaceuticals),Ethambutol Hydrochloride/Isoniazid,,Tablet,Oral,05010900,Antituberculosis Drugs,February 2009
85474,38877411000001104,94936021,0,Doxycycline 50mg capsules (Medihealth (Northern) Ltd),Doxycycline hyclate,50mg,Capsule,Oral,05010300/05040100/13060201,Tetracyclines/Antimalarials/Oral Antibacterials For Acne,January 2022
50241,8274611000001107,18929020,53,Amiodarone 200mg/5ml oral suspension,Amiodarone hydrochloride,40mg/1ml,Oral suspension,Oral,02030201,Supraventricular & Ventricular Arrhythmias,January 2013
70869,28045911000001108,43061021,2,Doxycycline 36.4mg/260mg periodontal gel cartridge,Doxycycline hyclate,140mg/1gram,Oromucosal gel,Oromucosal,05010300/12030200,Tetracyclines/Oropharyngeal Anti-Infective Drugs,December 2017
18041,3959411000001106,83609020,337,Periostat 20mg tablets (Alliance Pharmaceuticals Ltd),Doxycycline hyclate,20mg,Tablet,Oral,12030100,Drugs For Oral Ulceration And Inflammation,February 2009
11807,235635001000027100,86865020,14751,Paracetamol 500mg with codeine 12.8mg tablet,Codeine Phosphate/Paracetamol,500mg + 12.8mg,Tablets,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
60517,11403111000001102,75431020,2,Co-codamol 30mg/500mg effervescent tablets (Almus Pharmaceuticals Ltd),Codeine phosphate/Paracetamol,30mg + 500mg,Effervescent tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,July 2014
40107,29111000001101,65586020,9,Paracetamol 500mg soluble tablets (Kent Pharma (UK) Ltd),Paracetamol,500mg,Effervescent tablet,Oral,04070100,Non-Opioid And Compound Analgesics,August 2009
81155,21531711000001100,45496020,1,Panadol Period Pain 500mg/65mg tablets (Haleon UK Ltd),Paracetamol/Caffeine,500mg + 65mg,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,July 2020
19917,138685001000027100,66339020,28,Pseudoephedrine 60mg with paracetamol 500mg tablet,Paracetamol/Pseudoephedrine Hydrochloride,60mg + 500mg,Tablets,Oral,03100000/04070100,Systemic Nasal Decongestants/Non-Opioid And Compound Analgesics,February 2009
67887,32360811000001104,62354021,1,Paracetamol 120mg soluble tablets sugar free (Ennogen Healthcare Ltd),Paracetamol,120mg,Soluble tablet,Oral,04070100,Non-Opioid And Compound Analgesics,October 2016
24486,153935001000027100,68326020,19,Vitamin a strong 50000 units strong capsules,Vitamin A,50000 units,Capsules,Oral,09060100,Vitamin A,February 2009
45649,263405001000027100,99467020,296,Calpol infant 120mg/5ml Oral suspension (McNeil Products Ltd),Paracetamol,120mg/5ml,Oral Suspension,Oral,04070100,Non-Opioid And Compound Analgesics,July 2011
61560,21719811000001104,47005020,23,Voractiv tablets (Genus Pharmaceuticals Ltd),Ethambutol hydrochloride/Pyrazinamide/Isoniazid/Rifampicin,275mg + 400mg + 75mg + 150mg,Tablet,Oral,05010900,Antituberculosis Drugs,November 2014
10602,655311000001106,57692020,586,Paracodol 8mg/500mg effervescent tablets (Bayer Plc),Codeine phosphate/Paracetamol,8mg + 500mg,Effervescent tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
18063,4445511000001105,82648020,5,Xeloda 500mg tablets (Roche Products Ltd),Capecitabine,500mg,Tablet,Oral,08010300,Antimetabolites,February 2009
71003,20326411000001108,40560020,0,Oxytetracycline 250mg tablets (Genesis Pharmaceuticals Ltd),Oxytetracycline dihydrate,250mg,Tablet,Oral,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,December 2017
49849,17952311000001100,04217020,7232,Paracetamol 500mg caplets (Phoenix Healthcare Distribution Ltd),Paracetamol,500mg,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,January 2013
28237,4588611000001101,84305020,26,Lemsip Max Cold & Flu capsules (Reckitt Benckiser Healthcare (UK) Ltd),Caffeine/Phenylephrine hydrochloride/Paracetamol,25mg + 6.1mg + 500mg,Capsule,Oral,03095000,Miscellaneous Cough & Cold Preparations,February 2009
29401,4636411000001100,85638020,33,Otrivine Mu-Cron tablets (Novartis Consumer Health UK Ltd),Paracetamol/Pseudoephedrine hydrochloride,500mg + 60mg,Tablet,Oral,03095000,Miscellaneous Cough & Cold Preparations,February 2009
33688,18068111000001108,65467020,207,Co-codamol 30mg/500mg effervescent tablets (Fannin (UK) Ltd),Codeine phosphate/Paracetamol,30mg + 500mg,Effervescent tablet,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
74109,35579011000001104,80844021,11,Emcozin 30mg/500mg tablets (GlucoRx Ltd),Codeine phosphate/Paracetamol,30mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,December 2018
57799,3396911000001109,11766020,1101,Generic Abidec Multivitamin drops,Vitamin A palmitate/Ergocalciferol/Thiamine hydrochloride/Riboflavin/Pyridoxine hydrochloride/Nicotinamide/Ascorbic acid,2222iu/1ml + 667iu/1ml + 1.67mg/1ml + 1333microgram/1ml + 1333microgram/1ml + 1333microgram/1ml + 66.7mg/1ml,Oral drops,Oral,09060700,Multivitamin And Multimineral Preparations,December 2013
49923,16172011000001104,04813020,3,Epilim Chrono 200 tablets (Lexon (UK) Ltd),Sodium valproate,200mg,Modified-release tablet,Oral,04080100,Control Of Epilepsy,January 2013
43010,205505001000027100,77732020,42,"Selenium with vitamin A, C & E tablet",Vitamin A/Ascorbic Acid/Alpha Tocopherol/Selenium,,Tablets,Oral,09060750,-,July 2010
4502,39107811000001104,69210020,160679,Sodium valproate 100mg tablets,Sodium valproate,100mg,Tablet,Oral,04080100,Control Of Epilepsy,February 2009
12987,235345001000027100,86778020,1848,Doxycycline (as hyclate) 50mg capsules with microgranules,Doxycycline Hyclate,50mg,Capsules Containing Spherical Coated Microgranules,Oral,05010300/05040100,Tetracyclines/Antimalarials,February 2009
17367,3887811000001104,66354020,146,Zinamide 500mg tablets (Genus Pharmaceuticals Ltd),Pyrazinamide,500mg,Tablet,Oral,05010900,Antituberculosis Drugs,February 2009
83280,21731511000001104,46820020,0,Acitretin 10mg capsules (A A H Pharmaceuticals Ltd),Acitretin,10mg,Capsule,Oral,13050201,Oral Retinoids For Psoriasis,March 2021
19,42010211000001104,60971020,13152728,Co-codamol 8mg/500mg tablets,Codeine phosphate/Paracetamol,8mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
262,322239002,65976020,767261,Paracetamol 250mg/5ml oral suspension,Paracetamol,50mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
35800,8982611000001106,58107020,34,Mandanol Infant paracetamol 120mg/5ml oral suspension (M & A Pharmachem Ltd),Paracetamol,24mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
33260,187325001000027100,73509020,4,Paracetamol with codeine with hyoscine & caffeine tablet,Caffeine/Hyoscine Hydrobromide/Codeine Phosphate/Paracetamol,,Tablets,Oral,04065900/04070100,Products Used Against Nausea And Vertigo - Hyoscine/Non-Opioid And Compound Analgesics,February 2009
53287,5468911000001108,04326020,1,Co-codamol 30mg/500mg effervescent tablets (Alliance Healthcare (Distribution) Ltd),Codeine phosphate/Paracetamol,30mg + 500mg,Effervescent tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,January 2013
