prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild
46774,84011000001105,59989020,187,Sodium valproate 500mg gastro-resistant tablets (Teva UK Ltd),Sodium valproate,500mg,Gastro-resistant tablet,Oral,04080100,Control Of Epilepsy,February 2012
15367,4915111000001107,73478020,276,Anadin Extra tablets (Haleon UK Ltd),Aspirin/Paracetamol/Caffeine,300mg + 200mg + 45mg,Tablet,Oral,04070500,Other Non Opioid Analgesics,February 2009
9101,143035001000027100,66919020,75,Testosterone 10mg tablets,Testosterone,10mg,Tablets,Oral,06040200,Male Sex Hormones And Antagonists,February 2009
77514,19664811000001104,38533020,11,Sodium valproate 500mg gastro-resistant tablets (Wockhardt UK Ltd),Sodium valproate,500mg,Gastro-resistant tablet,Oral,04080100,Control Of Epilepsy,August 2019
46807,11404211000001106,75447020,12,Doxycycline 100mg capsules (Almus Pharmaceuticals Ltd),Doxycycline hyclate,100mg,Capsule,Oral,05010300/05040100/13060201,Tetracyclines/Antimalarials/Oral Antibacterials For Acne,February 2012
42190,216255001000027100,81334020,2,Nicotinic acid with colecalciferol and calcium gluconate Tablet,Calcium Gluconate/Colecalciferol/Nicotinic Acid,,Tablet,Oral,02060400,Peripheral Vasodilators And Related Products,April 2010
35024,11475211000001102,93459020,27186,Sodium valproate 300mg modified-release capsules,Sodium valproate,300mg,Modified-release capsule,Oral,04080100,Control Of Epilepsy,February 2009
48354,39024711000001104,04259020,297532,Paracetamol 120mg/5ml oral suspension paediatric sugar free,Paracetamol,24mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,January 2013
84308,200611000001103,04260020,36,Paracetamol 120mg/5ml oral suspension paediatric sugar free (Approved Prescription Services Ltd),Paracetamol,24mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,August 2021
72045,24135711000001100,23122021,0,Methotrexate 10mg tablets (Morningside Healthcare Ltd),Methotrexate,10mg,Tablet,Oral,01050300/08010300/10010302/13050300,Products Affecting The Immune Response In Chronic Bowel Problems/Antimetabolites/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,April 2018
63551,18870211000001108,04321020,43,Co-codamol 8mg/500mg effervescent tablets (Vantage),Codeine phosphate/Paracetamol,8mg + 500mg,Effervescent tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,July 2015
34414,93865001000027100,59953020,6,Sodium valproate 200mg Tablet (Sterwin Medicines),Sodium valproate,200mg,Gastro-resistant tablet,Oral,04080100,Control Of Epilepsy,February 2009
52606,14709211000001104,07336020,0,Methotrexate 2.5mg tablets (Sigma Pharmaceuticals Plc),Methotrexate,2.5mg,Tablet,Oral,01050300/08010300/10010302/13050300,Products Affecting The Immune Response In Chronic Bowel Problems/Antimetabolites/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,January 2013
3450,41791811000001104,64427020,111668,Mercaptopurine 50mg tablets,Mercaptopurine,50mg,Tablet,Oral,01050300/08010300,Products Affecting The Immune Response In Chronic Bowel Problems/Antimetabolites,February 2009
7818,266211000001102,63678020,7788,Rifater tablets (Sanofi),Pyrazinamide/Rifampicin/Isoniazid,300mg + 120mg + 50mg,Tablet,Oral,05010900,Antituberculosis Drugs,February 2009
57839,22033611000001108,14608021,1,Co-codamol 15mg/500mg tablets (Waymade Healthcare Plc),Codeine phosphate/Paracetamol,15mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,December 2013
42082,4334111000001107,79077020,29,VFEND 50mg tablets (Pfizer Ltd),Voriconazole,50mg,Tablet,Oral,05020100,Triazole Antifungals,April 2010
13008,17315001000027108,50201020,8369,Adult multivitamins and minerals Capsule (BioCare Ltd),Pantothenic Acid/Biotin/Zinc Citrate/Magnesium Ascorbate/Pyridoxal-5-Phosphate/Calcium Citrate/Silica/Aminobenzoic Acid/Manganese Ascorbate/Vitamin A Acetate/Chromium Polynicotinate/Potassium Molybdate/Selenomethionine/Folic Acid/Hydroxocobalam,,Capsule,Oral,09060700,Multivitamin And Multimineral Preparations,February 2009
78304,19495011000001108,09973020,2,Isotretinoin 40mg capsules (Viatris UK Healthcare Ltd),Isotretinoin,40mg,Capsule,Oral,13060203,Oral Retinoids For Acne,November 2019
12447,21755001000027104,50754020,30,Norgesic Tablet (3M Health Care Ltd),Paracetamol/Orphenadrine Hydrochloride,,Tablet,Oral,10020200,Skeletal Muscle Relaxants,February 2009
28346,118775001000027100,63637020,5124,Paracetamol 500mg Tablet (M & A Pharmachem Ltd),Paracetamol,500mg,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
34939,62565001000027104,55837020,12,Co-dydramol 10mg+500mg Tablet (Duncan Flockhart Ltd),Dihydrocodeine tartrate/Paracetamol,10mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
60515,10496011000001102,28355020,50,"Arovit 150,000units/ml drops (Imported (Italy))",Vitamin A,150000unit/1ml,Oral drops,Oral,09060100,Vitamin A,July 2014
39039,39108211000001104,96128020,55832,Sodium valproate 200mg modified-release tablets,Sodium valproate,200mg,Modified-release tablet,Oral,04080100,Control Of Epilepsy,February 2009
4718,18955001000027104,50406020,6528,Migraleve - 1 Tablet (Pfizer Consumer Healthcare Ltd),Buclizine Hydrochloride/Codeine Phosphate/Paracetamol,,Tablet,Oral,03040102/04070401,Sedating Antihistamines/Acute Migraine,February 2009
62169,5020311000001105,65245020,1,Co-codamol 8mg/500mg tablets (Vantage),Codeine phosphate/Paracetamol,8mg + 500mg,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,January 2015
69534,134011000001106,04306020,35,Co-proxamol 32.5mg/325mg tablets (Alliance Healthcare (Distribution) Ltd),Dextropropoxyphene hydrochloride/Paracetamol,32.5mg + 325mg,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,May 2017
59542,14758011000001100,05796020,203,Vibramycin-D 100mg dispersible tablets (Sigma Pharmaceuticals Plc),Doxycycline monohydrate,100mg,Dispersible tablet,Oral,05010300/05040100/13060201,Tetracyclines/Antimalarials/Oral Antibacterials For Acne,April 2014
8295,99255001000027100,60896020,13,Ethambutol with Isoniazid 300mg with 100mg tablets,Ethambutol Hydrochloride/Isoniazid,300mg + 100mg,Tablets,Oral,05010900,Antituberculosis Drugs,February 2009
77663,225711000001107,04273020,3,Paracetamol 250mg/5ml oral suspension sugar free (Kent Pharma (UK) Ltd),Paracetamol,50mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,August 2019
49219,298211000001104,04239020,2685,Calpol Infant Original 120mg/5ml oral suspension (McNeil Products Ltd),Paracetamol,24mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,January 2013
3107,739111000001100,74925020,1051347,Epilim Chrono 500 tablets (Sanofi),Sodium valproate,500mg,Modified-release tablet,Oral,04080100,Control Of Epilepsy,February 2009
16737,2873211000001106,56158020,11383,HealthAid Multivitamin capsules (Pharmadass Ltd),Vitamin D/Ascorbic acid/Nicotinamide/Riboflavin/Thiamine hydrochloride/Vitamin A,300unit + 15mg + 7.5mg + 500microgram + 1mg + 2500unit,Capsule,Oral,09060700,Multivitamin And Multimineral Preparations,February 2009
81667,36866311000001104,86449021,12,Voriconazole 100mg tablets,Voriconazole,100mg,Tablet,Oral,05020100,Triazole Antifungals,September 2020
34266,72625001000027100,57285020,4,Tixymol 120mg/5ml Oral suspension (Novartis Consumer Health UK Ltd),Paracetamol,120mg/5ml,Oral Suspension,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
45645,262155001000027100,99126020,110,Medinol for children 120mg/5ml Oral suspension (SSL International Plc),Paracetamol,120mg/5ml,Oral Suspension,Oral,04070100,Non-Opioid And Compound Analgesics,July 2011
268,2854011000001102,52259020,156552,Vibramycin 100mg capsules (Pfizer Ltd),Doxycycline hyclate,100mg,Capsule,Oral,05010300/05040100,Tetracyclines/Antimalarials,February 2009
58636,8990311000001104,69515020,793,Co-codamol 8mg/500mg effervescent tablets (Teva UK Ltd),Codeine phosphate/Paracetamol,8mg + 500mg,Effervescent tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,January 2014
9014,31305001000027108,51899020,23168,Tetrabid-organon 250mg Capsule (Organon Laboratories Ltd),Tetracycline hydrochloride,250mg,Capsule,Oral,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,February 2009
9855,42010711000001104,66016020,417952,Co-dydramol 20mg/500mg tablets,Dihydrocodeine tartrate/Paracetamol,20mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
14676,205275001000027100,77683020,246,Paracetamol 500mg with codeine phosphate 8mg & caffeine 30mg effervescent tablet,Caffeine/Codeine Phosphate/Paracetamol,500mg+8mg+30mg,Effervescent Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
10178,4924611000001109,89794020,1226,Solpadeine Plus capsules (Omega Pharma Ltd),Codeine phosphate/Caffeine/Paracetamol,8mg + 30mg + 500mg,Capsule,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
8335,772811000001100,57693020,1022,Paracodol 8mg/500mg capsules (Bayer Plc),Codeine phosphate/Paracetamol,8mg + 500mg,Capsule,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
80337,37896911000001104,90529021,0,Doxycycline 100mg capsules (Dawa Ltd),Doxycycline hyclate,100mg,Capsule,Oral,05010300/05040100/13060201,Tetracyclines/Antimalarials/Oral Antibacterials For Acne,April 2020
7205,550611000001102,54172020,920,Panadol 500mg capsules (Haleon UK Ltd),Paracetamol,500mg,Capsule,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
28747,50615001000027104,54344020,344,Vitamins a & d high strength capsules,Vitamin A/Vitamin D,,Capsules High Strength,Oral,09060100/09060400,Vitamin A/Vitamin D,February 2009
64387,22636411000001108,16705021,0,Co-codamol 30mg/500mg tablets (DE Pharmaceuticals),Codeine phosphate/Paracetamol,30mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,October 2015
41401,109935001000027100,62439020,190,Vitamin bpc Capsule (Select),Vitamin D/Ascorbic acid/Nicotinamide/Riboflavin/Thiamine hydrochloride/Vitamin A,300unit + 15mg + 7.5mg + 500microgram + 1mg + 2500unit,Capsule,Oral,09060700,Multivitamin And Multimineral Preparations,March 2010
61085,21796211000001108,47526020,1,Methotrexate 2.5mg tablets (Waymade Healthcare Plc),Methotrexate,2.5mg,Tablet,Oral,01050300/08010300/10010302/13050300,Products Affecting The Immune Response In Chronic Bowel Problems/Antimetabolites/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,September 2014
12891,225135001000027100,83973020,108,Superted multivitamins & iron Chewable tablet (Chefaro UK Ltd),Stearic Acid (E570)/Magnesium Stearate (E572)/Pyridoxine Hydrochloride/Thiamine Nitrate/Vitamin A/Ferrous Sulphate/Ascorbic Acid/Riboflavin/Colecalciferol/Dicalcium  Phosphate/Folic Acid,,Chewable Tablet,Oral,09060750,-,February 2009
65189,8485311000001109,19795020,7,Doxycycline 50mg/5ml oral suspension,Doxycycline hyclate,10mg/1ml,Oral suspension,Oral,05010300/05040100/13060201,Tetracyclines/Antimalarials/Oral Antibacterials For Acne,January 2016
34151,51765001000027104,54483020,29,Valproate sodium 500mg Gastro-resistant tablet (IVAX Pharmaceuticals UK Ltd),Sodium valproate,500mg,Gastro-resistant tablet,Oral,04080100,Control Of Epilepsy,February 2009
9107,25805001000027108,51231020,1471,Pregnavite Forte F Tablet (Goldshield Pharmaceuticals Ltd),Nicotinamide/Calcium Phosphate/Pyridoxine Hydrochloride/Thiamine Hydrochloride/Vitamin A/Vitamin D/Ferrous Sulphate/Ascorbic Acid/Riboflavin/Folic Acid,,Tablet,Oral,09010101,Oral Iron,February 2009
77195,28050211000001104,40660021,0,Sodium valproate 500mg modified-release tablets (DE Pharmaceuticals),Sodium valproate,500mg,Modified-release tablet,Oral,04080100,Control Of Epilepsy,July 2019
32387,241395001000027100,89626020,96,Adeks Drops (Scandipharm),Pantothenic Acid/Biotin/Ascorbic Acid/Nicotinic Acid/Phytomenadione/Riboflavin/Pyridoxine/Alpha Tocopherol/Vitamin A/Zinc Sulphate/Colecalciferol/Beta Carotene/Thiamine/Vitamin B12,,Drops,Oral,09060750,-,February 2009
39793,684311000001103,96395020,399,Neotigason 25mg capsules (Teva UK Ltd),Acitretin,25mg,Capsule,Oral,13050201,Oral Retinoids For Psoriasis,July 2009
40796,36564611000001104,97281020,15690,Doxycycline 40mg modified-release capsules,Doxycycline monohydrate,40mg,Modified-release capsule,Oral,05010300/13060000,Tetracyclines/Acne And Rosacea,November 2009
78552,143355001000027100,66957020,4,Tetracycline 250mg modified release capsules,Tetracycline Hydrochloride,,,,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,November 2019
6875,41951111000001104,56024020,3801,Isoniazid 50mg tablets,Isoniazid,50mg,Tablet,Oral,05010900,Antituberculosis Drugs,February 2009
24075,67111000001103,56741020,1762,Mandanol 500mg caplets (M & A Pharmachem Ltd),Paracetamol,500mg,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
3413,621011000001105,57785020,18983,Minocin 100mg tablets (Wyeth Pharmaceuticals),Minocycline hydrochloride,100mg,Tablet,Oral,05010300/05011000/13060201,Tetracyclines/Antileprotic Drugs/Oral Antibacterials For Acne,February 2009
6886,103805001000027100,61569020,14568,Codeine phosphate 30mg with paracetamol 500mg tablets,Codeine Phosphate/Paracetamol,30mg + 500mg,Tablets,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
83174,11005911000001106,78906020,1,Co-codamol 30mg/500mg capsules (Actavis UK Ltd),Codeine phosphate/Paracetamol,30mg + 500mg,Capsule,Oral,00000000,Unknown,March 2021
61851,17840611000001100,14144020,1,Boots Max Strength sinus relief capsules (The Boots Company Plc),Caffeine/Phenylephrine hydrochloride/Paracetamol,25mg + 6.1mg + 500mg,Capsule,Oral,03095000,Miscellaneous Cough & Cold Preparations,December 2014
41815,221745001000027100,82991020,844,Vitamins a & d with other vitamins capsules,Nicotinamide/Cyanocobalamin/Pyridoxine Hydrochloride/Thiamine Nitrate/Vitamin A/Vitamin D/Pantothenic Acid/Ascorbic Acid/Riboflavin/Alpha Tocopherol/Folic Acid/Eicosapentaenoic Acid/Docosahexaenoic Acid,,Capsules,Oral,09060700,Multivitamin And Multimineral Preparations,April 2010
58214,21676411000001108,46638020,1,Lemsip Cough Max for Mucus Cough & Cold 500mg/100mg/6.1mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),Phenylephrine hydrochloride/Paracetamol/Guaifenesin,6.1mg + 500mg + 100mg,Capsule,Oral,03095000,Miscellaneous Cough & Cold Preparations,December 2013
32093,16743011000001104,50184020,223,Paracetamol 250mg/5ml oral suspension (Rosemont Pharmaceuticals Ltd),Paracetamol,50mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
25529,205245001000027100,77680020,22,Paracetamol 500mg with codeine phosphate 8mg & caffeine 30mg tablet,Caffeine/Codeine Phosphate/Paracetamol,500mg+8mg+30mg,Tablets,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
21860,232135001000027100,85889020,94,Cyclodox 100mg Capsule (Berk Pharmaceuticals Ltd),Doxycycline hyclate,100mg,Capsule,Oral,05010300/05040100,Tetracyclines/Antimalarials,February 2009
38088,154935001000027100,68500020,151,Paracetamol 500mg with codeine phosphate 30 mg tablet,Codeine Phosphate/Paracetamol,500mg + 30mg,Tablets,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
19239,180595001000027100,72393020,27,Multivitamins with minerals and trace elements Tablet,Biotin/Sodium Molybdate/Ascorbic Acid/Calcium Pantothenate/Copper Sulphate/Folic Acid/Ferrous Fumarate/Magnesium Oxide/Manganese Sulphate/Nicotinamide/Potassium Chloride/Potassium Iodide/Riboflavin/Pyridoxine/Alpha Tocopherol/Vitamin A/Vitamin,,Tablet,Oral,09060750,-,February 2009
48295,39024611000001104,04271020,556360,Paracetamol 250mg/5ml oral suspension sugar free,Paracetamol,50mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,January 2013
68690,30123211000001108,53522021,0,Doxycycline 100mg capsules (Mawdsley-Brooks & Company Ltd),Doxycycline hyclate,100mg,Capsule,Oral,05010300/05040100/13060201,Tetracyclines/Antimalarials/Oral Antibacterials For Acne,January 2017
55245,18106711000001100,04309020,0,Co-proxamol 32.5mg/325mg tablets (Phoenix Healthcare Distribution Ltd),Dextropropoxyphene hydrochloride/Paracetamol,32.5mg + 325mg,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,May 2013
30954,526911000001107,51142020,1624,Co-proxamol 32.5mg/325mg tablets (Actavis UK Ltd),Dextropropoxyphene hydrochloride/Paracetamol,32.5mg + 325mg,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
38032,10275111000001100,72716020,3,Paracetamol 500mg capsules (Teva UK Ltd),Paracetamol,500mg,Capsule,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
77505,27008211000001104,29689021,2,Paracetamol 500mg / Dihydrocodeine 20mg tablets (Icarus Pharmaceuticals Ltd),Dihydrocodeine tartrate/Paracetamol,20mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,August 2019
49524,85011000001109,04272020,5363,Paracetamol 250mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),Paracetamol,50mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,January 2013
14127,228305001000027100,84980020,1367,Adeks Tablet (Scandipharm),Betacarotene/Zinc Oxide/Biotin/Cyanocobalamin/Phytomenadione/Pyridoxine/Thiamine/Vitamin A/Pantothenic Acid/Ascorbic Acid/Riboflavin/Alpha Tocopherol/Colecalciferol/Nicotinic Acid/Folic Acid,,Tablet,Oral,09060750,-,February 2009
83995,22450211000001108,15894021,20,Paracetamol 1g suppositories (DE Pharmaceuticals),Paracetamol,1gram,Suppository,Rectal,04070100,Non-Opioid And Compound Analgesics,June 2021
78143,33426011000001108,70398021,0,Voriconazole 50mg tablets (A A H Pharmaceuticals Ltd),Voriconazole,50mg,Tablet,Oral,05020100,Triazole Antifungals,October 2019
42213,12872711000001106,75096020,54,Co-codamol 8mg/500mg capsules (Actavis UK Ltd),Codeine phosphate/Paracetamol,8mg + 500mg,Capsule,Oral,04070100,Non-Opioid And Compound Analgesics,May 2010
1689,159925001000027100,69387020,1211309,Paracetamol 120mg/5ml oral suspension sugar free,Paracetamol,120mg/5ml,Oral Suspension Paediatric Sugar-Free,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
58326,21933211000001100,47434020,0,Doxycycline 50mg capsules (Sovereign Medical Ltd),Doxycycline hyclate,50mg,Capsule,Oral,05010300/05040100/13060201,Tetracyclines/Antimalarials/Oral Antibacterials For Acne,December 2013
4,39690311000001104,58897020,14711055,Co-proxamol 32.5mg/325mg tablets,Dextropropoxyphene hydrochloride/Paracetamol,32.5mg + 325mg,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
63900,22637011000001100,16703021,0,Co-codamol 8mg/500mg tablets (DE Pharmaceuticals),Codeine phosphate/Paracetamol,8mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,July 2015
78305,8992011000001103,69497020,2,Isotretinoin 20mg capsules (Alliance Pharmaceuticals Ltd),Isotretinoin,20mg,Capsule,Oral,13060203,Oral Retinoids For Acne,November 2019
49376,19730911000001104,38483020,0,Amiodarone 100mg tablets (Medreich Plc),Amiodarone hydrochloride,100mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,January 2013
34926,254511000001104,54134020,27,Minocycline 100mg tablets (A A H Pharmaceuticals Ltd),Minocycline hydrochloride,100mg,Tablet,Oral,05010300/05011000/13060201,Tetracyclines/Antileprotic Drugs/Oral Antibacterials For Acne,February 2009
24583,36031611000001104,87149020,1391,Nicotinic acid 750mg modified-release tablets,Nicotinic acid,750mg,Modified-release tablet,Oral,00000000,Unknown,February 2009
32092,67385001000027104,56498020,9,Flutamide 250mg Tablet (Orion Pharma (UK) Ltd),Flutamide,250mg,Tablet,Oral,08030402,Prostate Cancer,February 2009
30739,10724511000001104,54616020,662,Doxycycline 100mg capsules (Teva UK Ltd),Doxycycline hyclate,100mg,Capsule,Oral,05010300/05040100/13060201,Tetracyclines/Antimalarials/Oral Antibacterials For Acne,February 2009
29456,128811000001106,59557020,33,Amiodarone 200mg tablets (Sandoz Ltd),Amiodarone hydrochloride,200mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,February 2009
53679,7382511000001107,04328020,237,Co-codamol 30mg/500mg effervescent tablets (A A H Pharmaceuticals Ltd),Codeine phosphate/Paracetamol,30mg + 500mg,Effervescent tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2013
