prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild
69686,28799811000001108,44908021,6,Pevanti 25mg tablets (Advanz Pharma),Prednisolone,25mg,Tablet,Oral,01050200/03020000/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),June 2017
4779,325355004,62321020,127371,Dexamethasone 500microgram tablets,Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,February 2009
74436,8452311000001108,19687020,1,Dexamethasone 500micrograms/5ml oral suspension,Dexamethasone,100microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,January 2019
84513,11714711000001104,29771020,2,Dexamethasone 1.5mg/5ml oral solution,Dexamethasone,300microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,September 2021
78789,30114611000001104,53568021,1,Prednisolone 5mg soluble tablets (DE Pharmaceuticals),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),November 2019
75937,35775711000001100,82217021,63,Hydrocortisone 2mg granules in capsules for opening,Hydrocortisone,2mg,Granules,Oral,06030200,Glucocorticoid Therapy,April 2019
52969,16515511000001100,00605020,2,Colifoam 10% aerosol (Mawdsley-Brooks & Company Ltd),Hydrocortisone acetate,100mg/1gram,Rectal foam,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,January 2013
50734,17341211000001108,06591020,9,Depo-Medrone with Lidocaine suspension for injection 1ml vials (Mawdsley-Brooks & Company Ltd),Methylprednisolone acetate/Lidocaine hydrochloride,40mg/1ml + 10mg/1ml,Suspension for injection,Intraarticular/Intrabursal/Periarticular,10010202,Local Corticosteroid Injections,January 2013
55401,3286511000001105,06568020,1,Dexamethasone 500microgram tablets (A A H Pharmaceuticals Ltd),Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,May 2013
58369,14786811000001100,06612020,0,Prednisolone 5mg tablets (Boston Healthcare Ltd),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),December 2013
