prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild
20577,224015001000027100,83660020,2351,Calcort 6mg Tablet (Shire Pharmaceuticals Ltd),Deflazacort,6mg,Tablet,Oral,06030200/08020200,Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants,February 2009
64475,8515811000001109,19923020,58,Fludrocortisone 25micrograms/5ml oral suspension,Fludrocortisone acetate,5microgram/1ml,Oral suspension,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,October 2015
76173,3391111000001102,11447020,114,Generic Anugesic-HC suppositories,Peru Balsam/Zinc oxide/Pramocaine hydrochloride/Benzyl benzoate/Bismuth oxide/Bismuth subgallate/Hydrocortisone acetate,49mg + 296mg + 27mg + 33mg + 24mg + 59mg + 5mg,Suppository,Rectal,01070200,Compound Haemorrhoid Products With Corticosteroids,May 2019
14188,4195411000001101,64579020,277,Methylprednisolone sodium succinate 500mg powder and solvent for solution for injection vials,Methylprednisolone sodium succinate,500mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
22434,55915001000027104,54996020,5,Hydrocortisone acetate Powder,Hydrocortisone Acetate,,Powder,,50000000,Ingredients,February 2009
14695,225275001000027100,83998020,7253,Prednisolone 1.3mg with cinchocaine 1mg suppositories,Cinchocaine Hydrochloride/Prednisolone Caproate,1.3mg + 1mg,Suppository,Rectal,01070200,Compound Haemorrhoid Products With Corticosteroids,February 2009
26454,78075001000027100,57987020,5,Decadron 4mg/ml Injection (MSD Thomas Morson Pharmaceuticals),Dexamethasone Sodium Phosphate,4mg/ml,Injection,Intravenous Injection,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
1893,3017511000001100,49867020,58129,Hydrocortistab 25mg/1ml suspension for injection ampoules (Advanz Pharma),Hydrocortisone acetate,25mg/1ml,Suspension for injection,Intraarticular/Periarticular,10010202,Local Corticosteroid Injections,February 2009
75384,8581411000001107,20235020,2,Hydrocortisone 20mg/5ml oral suspension,Hydrocortisone,4mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,March 2019
23210,6245001000027108,48788020,24,Cortistab 5mg Tablet (Waymade Healthcare Plc),Cortisone Acetate,5mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,February 2009
20157,769111000001105,92063020,147605,Depo-Medrone with Lidocaine suspension for injection 2ml vials (Pfizer Ltd),Methylprednisolone acetate/Lidocaine hydrochloride,40mg/1ml + 10mg/1ml,Suspension for injection,Intraarticular/Intrabursal/Periarticular,10010202,Local Corticosteroid Injections,February 2009
34631,111515001000027100,62620020,17,Prednisolone 1mg Tablet (Co-Pharma Ltd),Prednisolone,1mg,Tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
7992,16835001000027104,50153020,1130,Lederspan 5mg/ml Injection (Wyeth Pharmaceuticals),Triamcinolone Hexacetonide,5mg/ml,Injection,Intralesional Injection,10010202,Local Corticosteroid Injections,February 2009
77085,11715411000001104,29785020,4,Dexamethasone 16mg/5ml oral solution,Dexamethasone,3.2mg/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,July 2019
12400,6285001000027104,48793020,1263,Cortisyl 25mg Tablet (Aventis Pharma),Cortisone acetate,25mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,February 2009
54794,21496311000001104,46189020,524,Hydrocortisone 20mg modified-release tablets,Hydrocortisone,20mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,April 2013
53336,716111000001103,06634020,1,Prednisolone 25mg tablets (A A H Pharmaceuticals Ltd),Prednisolone,25mg,Tablet,Oral,01050200/03020000/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),January 2013
51871,15436911000001100,36273020,4,Hydrocortisone 2mg capsules,Hydrocortisone,2mg,Capsule,Oral,06030200,Glucocorticoid Therapy,January 2013
23111,144855001000027100,67164020,348,Triamcinolone 4mg Tablet,Triamcinolone Acetonide,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
85626,40103511000001104,99921021,19,Hydrocortisone 5mg modified-release capsules,Hydrocortisone,5mg,Modified-release capsule,Oral,06030200,Glucocorticoid Therapy,February 2022
2342,3416911000001102,54528020,37250,Predsol 20mg/100ml retention enema (RPH Pharmaceuticals AB),Prednisolone sodium phosphate,200microgram/1ml,Enema,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,February 2009
59229,22520311000001108,16434021,3,Dilacort 5mg gastro-resistant tablets (Auden McKenzie (Pharma Division) Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),March 2014
48746,17341411000001106,06598020,43,Depo-Medrone 40mg/1ml suspension for injection vials (Mawdsley-Brooks & Company Ltd),Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intraarticular/Periarticular/Intrabursal/Intramuscular/Intralesional,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,January 2013
66633,19565211000001104,09689020,4,Prednisolone 20mg/application foam enema (Alliance Healthcare (Distribution) Ltd),Prednisolone sodium metasulfobenzoate,20mg/1application,Rectal foam,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,July 2016
53953,21496411000001104,46191020,1949,Hydrocortisone 5mg modified-release tablets,Hydrocortisone,5mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,March 2013
37622,246925001000027100,92991020,5,Fludrocortisone Capsule,Fludrocortisone Acetate,,Capsule,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,February 2009
34748,238511000001107,54228020,2117,Prednisolone 1mg tablets (Teva UK Ltd),Prednisolone,1mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),February 2009
19179,164685001000027100,70072020,5,Benzyl benzoate with hydrocortisone and soothing agents suppository,Peru Balsam/Zinc Oxide/Benzyl Benzoate/Hydrocortisone Acetate/Pramocaine Hydrochloride/Bismuth Oxide/Bismuth Subgallate,,Suppository,Rectal,01070200,Compound Haemorrhoid Products With Corticosteroids,February 2009
75065,35700311000001104,82218021,214,Alkindi 2mg granules in capsules for opening (Diurnal Ltd),Hydrocortisone,2mg,Granules,Oral,06030200,Glucocorticoid Therapy,February 2019
12405,4396811000001102,64583020,5,Methylprednisolone sodium succinate 2g powder and solvent for solution for injection vials,Methylprednisolone sodium succinate,2gram,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
15164,3441811000001107,71945020,8139,Cinchocaine 1mg / Prednisolone hexanoate 1.3mg suppositories,Cinchocaine hydrochloride/Prednisolone hexanoate,1mg + 1.3mg,Suppository,Rectal,01070200,Compound Haemorrhoid Products With Corticosteroids,February 2009
63214,157711000001100,06629020,42,Prednisolone 5mg soluble tablets (Alliance Healthcare (Distribution) Ltd),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),May 2015
35688,36034611000001104,92105020,2653,Methylprednisolone acetate 120mg/3ml suspension for injection vials,Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intramuscular/Intraarticular/Periarticular/Intralesional/Intrabursal,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
34914,18935001000027104,50404020,2,Prednisolone 1mg Tablet (Celltech Pharma Europe Ltd),Prednisolone,1mg,Tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
34221,164515001000027100,70053020,17,Prednisolone suppositories,Prednisolone,,Suppository,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,February 2009
83665,37420111000001104,88997021,0,Depo-Medrone with Lidocaine suspension for injection 1ml vials (CST Pharma Ltd),Methylprednisolone acetate/Lidocaine hydrochloride,40mg/1ml + 10mg/1ml,Suspension for injection,Intraarticular/Intrabursal/Periarticular,10010202,Local Corticosteroid Injections,April 2021
54434,13079211000001104,33907020,4,Prednisolone 2.5mg/5ml oral suspension,Prednisolone,500microgram/1ml,Oral suspension,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,April 2013
52053,12554911000001104,32204020,2,Hydrocortisone 3mg/5ml oral suspension,Hydrocortisone,600microgram/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,January 2013
66666,18392311000001108,78289020,0,Hydrocortisone 10mg tablets (Teva UK Ltd),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,July 2016
2439,325336004,61943020,687636,Fludrocortisone 100microgram tablets,Fludrocortisone acetate,100microgram,Tablet,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,February 2009
2130,325412002,64573020,3430,Methylprednisolone 4mg tablets,Methylprednisolone,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
86835,28418711000001104,44831021,11,Hydrocortisone 5mg/5ml oral solution (Special Order),Hydrocortisone,1mg/1ml,Oral solution,Oral,06030200,Glucocorticoid Therapy,October 2022
28376,29785001000027104,51722020,48,Prednisolone 2.5mg Gastro-resistant tablet (Biorex Laboratories Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
86017,40306811000001104,00790022,17,Dexamethasone 20mg soluble tablets sugar free,Dexamethasone sodium phosphate,20mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,April 2022
45234,8792611000001104,91780020,15,Dexamethasone 100microgram capsules,Dexamethasone,100microgram,Capsule,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,May 2011
34781,350611000001104,65526020,20,Prednisolone 5mg tablets (Kent Pharma (UK) Ltd),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),February 2009
68103,32400911000001104,65918021,1,Dexamethasone 2mg soluble tablets sugar free (A A H Pharmaceuticals Ltd),Dexamethasone sodium phosphate,2mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,November 2016
77646,8581511000001106,20237020,30,Hydrocortisone 25mg/5ml oral suspension,Hydrocortisone,5mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,August 2019
3754,73735001000027100,57434020,2105,Hydrocortisone na succinate 100mg/vial Injection,Hydrocortisone Sodium Succinate,100mg/vial,Injection,Intravenous Injection,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,February 2009
21903,41195001000027104,53177020,61,Oradexon-organon 2mg Tablet (Organon Laboratories Ltd),Dexamethasone,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
5913,459611000001100,53819020,48329,Deltacortril 2.5mg gastro-resistant tablets (Phoenix Labs Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),February 2009
38022,8581111000001102,94691020,1558,Hydrocortisone 10mg/5ml oral suspension,Hydrocortisone,2mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,February 2009
54715,13871211000001104,35238020,244,Solu-Cortef 100mg powder for solution for injection vials (Pfizer Ltd),Hydrocortisone sodium succinate,100mg,Powder for solution for injection,Intramuscular/Intravenous,06030200,Glucocorticoid Therapy,April 2013
44,325443009,66163020,5421611,Prednisolone 5mg gastro-resistant tablets,Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),February 2009
86935,40609311000001104,02061022,2,Hydrocortisone 20mg dispersible tablets sugar free,Hydrocortisone,20mg,Dispersible tablet,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,October 2022
14906,4052711000001101,89887020,7391,Dexamethasone 4mg/1ml solution for injection ampoules,Dexamethasone sodium phosphate,4mg/1ml,Solution for injection,Rectal/Intramuscular/Intraarticular/Intrabursal/Intravenous/Subcutaneous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
48406,35921711000001108,11073020,12395,Triamcinolone acetonide 40mg/1ml suspension for injection vials,Triamcinolone acetonide,40mg/1ml,Suspension for injection,Intraarticular/Intramuscular,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,January 2013
45302,29805001000027104,51724020,1,Prednisolone 5mg Tablet (Biorex Laboratories Ltd),Prednisolone,5mg,Tablet,Oral,06030200,Glucocorticoid Therapy,May 2011
26299,67855001000027110,56573020,4,Oradexon-organon 4mg/ml Intraarticular injection (Organon Laboratories Ltd),Dexamethasone Sodium Phosphate,4mg/ml,Intraarticular Injection,,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
229,325349009,61624020,32609,Cortisone 25mg tablets,Cortisone acetate,25mg,Tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
86677,40609411000001104,01983022,29,Hydrocortisone 5mg dispersible tablets sugar free,Hydrocortisone,5mg,Dispersible tablet,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,August 2022
70611,11716211000001108,29801020,2,Dexamethasone 3mg/5ml oral solution,Dexamethasone,600microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,November 2017
82432,19743011000001108,38569020,0,Prednisolone 2.5mg gastro-resistant tablets (Almus Pharmaceuticals Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),January 2021
14962,89311000001109,91320020,4236,Adcortyl Intra-articular / Intradermal 50mg/5ml suspension for injection vials (Bristol-Myers Squibb Pharmaceuticals Ltd),Triamcinolone acetonide,10mg/1ml,Suspension for injection,Intraarticular/Intradermal,10010202,Local Corticosteroid Injections,February 2009
38407,244685001000027100,92115020,22,Prednisolone 20mg tablet,Prednisolone,20mg,Tablets,Oral,06030200,Glucocorticoid Therapy,February 2009
81344,37130211000001110,87030021,0,Prednisolone 2.5mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),July 2020
77708,36827211000001104,85504021,27,Prednisolone 20mg/100ml rectal solution (Alliance Healthcare (Distribution) Ltd),Prednisolone sodium phosphate,200microgram/1ml,Enema,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,August 2019
67076,13079311000001108,33909020,17,Prednisolone 20mg/5ml oral solution,Prednisolone,4mg/1ml,Oral solution,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,August 2016
28859,47615001000027104,54005020,4,Deltastab 5mg Tablet (Waymade Healthcare Plc),Prednisolone,5mg,Tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
18266,4396711000001105,72923020,133,Methylprednisolone sodium succinate 125mg powder and solvent for solution for injection vials,Methylprednisolone sodium succinate,125mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
14335,911211000001105,91318020,22628,Adcortyl Intra-articular / Intradermal 10mg/1ml suspension for injection ampoules (Bristol-Myers Squibb Pharmaceuticals Ltd),Triamcinolone acetonide,10mg/1ml,Suspension for injection,Intraarticular/Intradermal,10010202,Local Corticosteroid Injections,February 2009
50216,793711000001105,06637020,307,Kenalog Intramuscular 40mg/1ml suspension for injection pre-filled syringes (Bristol-Myers Squibb Pharmaceuticals Ltd),Triamcinolone acetonide,40mg/1ml,Suspension for injection,Intramuscular,00000000,Unknown,January 2013
61162,21851411000001104,47497020,0,Prednisolone 5mg tablets (Waymade Healthcare Plc),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),September 2014
19908,144845001000027100,67163020,211,Triamcinolone 2mg Tablet,Triamcinolone Acetonide,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
6098,197211000001101,58008020,16324,Hydrocortone 10mg tablets (Auden McKenzie (Pharma Division) Ltd),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
13972,175775001000027100,71641020,565,Dexamethasone sodium phosphate 5mg/ml injection,Dexamethasone Sodium Phosphate,5mg/ml,Injection,,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
83480,17967911000001108,77487020,0,Dexamethasone 2mg tablets (Almus Pharmaceuticals Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,April 2021
68693,12030011000001106,30521020,1,Fludrocortisone 10micrograms/5ml oral suspension,Fludrocortisone acetate,2microgram/1ml,Oral suspension,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,January 2017
65984,13661711000001104,75399020,101,Hydrocortisone 10mg tablets (Accord-UK Ltd),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,April 2016
80553,37743911000001104,90103021,0,Dexamethasone 4mg tablets (CST Pharma Ltd),Dexamethasone,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,April 2020
64747,11716011000001104,29797020,90,Dexamethasone 2mg/5ml oral solution,Dexamethasone,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,November 2015
63138,28422811000001104,44830021,446,Hydrocortisone 5mg/5ml oral solution,Hydrocortisone,1mg/1ml,Oral solution,Oral,06030200,Glucocorticoid Therapy,May 2015
48800,18572811000001104,06599020,22,Depo-Medrone 40mg/1ml suspension for injection vials (DE Pharmaceuticals),Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intraarticular/Periarticular/Intrabursal/Intramuscular/Intralesional,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,January 2013
88201,37941611000001104,90842021,0,Prednisolone 10mg/ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd),Prednisolone,10mg/1ml,Oral solution,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,May 2023
18660,355311000001102,54091020,15071,Deltastab 25mg/1ml suspension for injection ampoules (Advanz Pharma),Prednisolone acetate,25mg/1ml,Suspension for injection,Intraarticular/Intramuscular/Periarticular,08020200/10010201/10010202,Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Local Corticosteroid Injections,February 2009
59338,13078911000001100,33901020,2,Prednisolone 1mg/5ml oral solution,Prednisolone,200microgram/1ml,Oral solution,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,April 2014
76923,13005411000001106,94900020,329,Methylprednisolone 1mg/5ml oral suspension,Methylprednisolone,200microgram/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,July 2019
64059,8581311000001100,20233020,2,Hydrocortisone 2.5mg/5ml oral suspension,Hydrocortisone,500microgram/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,August 2015
71620,12563811000001104,32224020,4,Hydrocortisone 7mg/5ml oral suspension,Hydrocortisone,1.4mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,February 2018
35172,3852011000001104,92307020,4948,Efcortesol 100mg/1ml solution for injection ampoules (Advanz Pharma),Hydrocortisone sodium phosphate,100mg/1ml,Solution for injection,Intralesional/Intravenous/Intramuscular,06030200,Glucocorticoid Therapy,February 2009
292,317681009,70684020,19510,Hydrocortisone 10% foam aerosol enema,Hydrocortisone acetate,100mg/1gram,Rectal foam,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,February 2009
34880,3291411000001104,53490020,338,Dexamethasone 2mg tablets (Aspen Pharma Trading Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,February 2009
84970,39934111000001104,99298021,1649,Hydrocortisone 5mg tablets,Hydrocortisone,5mg,Tablet,Oral,06030200,Glucocorticoid Therapy,November 2021
86330,12030311000001108,30527020,1,Fludrocortisone 1mg/5ml oral suspension,Fludrocortisone acetate,200microgram/1ml,Oral suspension,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,July 2022
65626,13078611000001106,33899020,6,Prednisolone 10mg/5ml oral suspension,Prednisolone,2mg/1ml,Oral suspension,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,March 2016
84411,32711611000001104,69039021,6,Hydrocortisone 10mg tablets (Alissa Healthcare Research Ltd),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,August 2021
37737,68305001000027104,56624020,46,Kenalog 40mg/ml Injection (E R Squibb and Sons Ltd),Triamcinolone Acetonide,40mg/ml,Injection,Intramuscular Deep Injection Gluteal Muscle,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
48320,39722311000001104,00611020,2129,Prednisolone 20mg/100ml rectal solution,Prednisolone sodium phosphate,200microgram/1ml,Enema,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,January 2013
49707,4195211000001100,13778020,2216,Hydrocortisone sodium succinate 100mg powder and solvent for solution for injection vials,Hydrocortisone sodium succinate,100mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200,Glucocorticoid Therapy,January 2013
2434,838111000001105,49494020,17215,Florinef 100microgram tablets (Aspen Pharma Trading Ltd),Fludrocortisone acetate,100microgram,Tablet,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,February 2009
820,161315001000027100,69583020,10457,Prednisolone 20mg/100ml retention enema,Prednisolone,20mg/100ml,Retention Enema,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,February 2009
10754,14365001000027102,49862020,105,Hydrocortistab 20mg Tablet (Waymade Healthcare Plc),Hydrocortisone,20mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,February 2009
69568,32652511000001108,68380021,65,Dilacort 5mg gastro-resistant tablets (Crescent Pharma Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),May 2017
85188,39933911000001104,99295021,112,Hydrocortisone 15mg tablets,Hydrocortisone,15mg,Tablet,Oral,06030200,Glucocorticoid Therapy,December 2021
77994,36917711000001104,86533021,51,Hydventia 10mg tablets (OcXia),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,September 2019
61316,4045311000001108,13639020,0,Dexamethasone 4mg/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd),Dexamethasone sodium phosphate,4mg/1ml,Solution for injection,Rectal/Intramuscular/Intraarticular/Intrabursal/Intravenous/Subcutaneous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,October 2014
88575,11816411000001104,30092020,0,Cortisone 2.5mg/5ml oral solution,Cortisone acetate,500microgram/1ml,Oral solution,Oral,06030200,Glucocorticoid Therapy,August 2023
74502,35700011000001100,82216021,125,Alkindi 1mg granules in capsules for opening (Diurnal Ltd),Hydrocortisone,1mg,Granules,Oral,06030200,Glucocorticoid Therapy,January 2019
