"prodcode","productname","drugsubstance","bnfcode","bnfchapter","type","label"
68827,"Atorvastatin 20mg tablets (Mylan)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
69093,"Atorvastatin 80mg tablets (Wockhardt UK Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
69413,"Simvastatin 20mg tablets (Brown & Burk UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
69427,"Atorvastatin 40mg tablets (Mylan)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
70308,"Crestor 20mg tablets (Sigma Pharmaceuticals Plc)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
70693,"Atorvastatin 10mg tablets (Sigma Pharmaceuticals Plc)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
70987,"Atorvastatin 10mg tablets (Dr Reddy's Laboratories (UK) Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
71014,"Rosuvastatin 20mg tablets (Waymade Healthcare Plc)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
71015,"Pravastatin 10mg tablets (Medreich Plc)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
71017,"Atorvastatin 20mg tablets (Dr Reddy's Laboratories (UK) Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
71029,"Fluvastatin 40mg capsules (Sandoz Ltd)","Fluvastatin sodium","02120400","Statins",2,"fluvastatin"
71773,"Simvastatin 80mg tablets (Brown & Burk UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
72048,"Pravastatin 40mg tablets (Actavis UK Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
72050,"Simvastatin 10mg tablets (Genesis Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
72149,"Pravastatin 5mg/5ml oral suspension","Pravastatin sodium","02120400","Statins",3,"pravastatin"
72164,"Atorvastatin 20mg tablets (Bristol Laboratories Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
72213,"Atorvastatin 20mg tablets (Wockhardt UK Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
72308,"Fluvastatin 20mg capsules (Alliance Healthcare (Distribution) Ltd)","Fluvastatin sodium","02120400","Statins",2,"fluvastatin"
72641,"Atorvastatin 40mg/5ml oral solution","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
73025,"Rosuvastatin 20mg tablets (Mylan)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
73383,"Fluvastatin 40mg capsules (Actavis UK Ltd)","Fluvastatin sodium","02120400","Statins",2,"fluvastatin"
73520,"Lipitor 20mg tablets (DE Pharmaceuticals)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
74085,"Lescol 40mg capsules (Sigma Pharmaceuticals Plc)","Fluvastatin sodium","02120400","Statins",2,"fluvastatin"
74518,"Atorvastatin 10mg tablets (Wockhardt UK Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
74552,"Rosuvastatin 10mg tablets (Milpharm Ltd)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
75134,"Simvastatin 80mg tablets (Mylan)","Simvastatin","02120400","Statins",5,"simvastatin"
75391,"Atorvastatin 80mg/5ml oral suspension","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
75622,"Atorvastatin 60mg tablets (A A H Pharmaceuticals Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
75826,"Pravastatin 20mg tablets (Actavis UK Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
75971,"Rosuvastatin 10mg tablets (Sandoz Ltd)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
