"prodcode","productname","drugsubstance","bnfcode","bnfchapter","type","label"
53340,"Zocor 40mg tablets (Lexon (UK) Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
53415,"Simvastatin 10mg tablets (Milpharm Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
53460,"Crestor 10mg tablets (DE Pharmaceuticals)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
53594,"Lipitor 80mg tablets (Mawdsley-Brooks & Company Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
53676,"Simvastatin 20mg tablets (Tillomed Laboratories Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
53770,"Fluvastatin 40mg capsules (A A H Pharmaceuticals Ltd)","Fluvastatin sodium","02120400","Statins",2,"fluvastatin"
53772,"Atorvastatin 80mg tablets (Alliance Healthcare (Distribution) Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
53822,"Simvastatin 10mg tablets (Bristol Laboratories Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
53887,"Atorvastatin 40mg tablets (Actavis UK Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
53890,"Atorvastatin 80mg tablets (Pfizer Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
53908,"Simvastatin 10mg tablets (Dexcel-Pharma Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
53966,"Simvastatin 40mg tablets (Phoenix Healthcare Distribution Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
54240,"Simvastatin 40mg tablets (Sigma Pharmaceuticals Plc)","Simvastatin","02120400","Statins",5,"simvastatin"
54266,"Simvastatin 20mg/5ml oral suspension","Simvastatin","02120400","Statins",5,"simvastatin"
54435,"Pravastatin 40mg tablets (Almus Pharmaceuticals Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
54493,"Simvastatin 10mg tablets (Relonchem Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
54535,"Atorvastatin 10mg tablets (Pfizer Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
54606,"Simvastatin 20mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
54607,"Pravastatin 20mg tablets (Almus Pharmaceuticals Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
54655,"Simvastatin 10mg tablets (Accord Healthcare Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
54819,"Simvastatin 40mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
54947,"Simvastatin 20mg tablets (Almus Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
54976,"Simvastatin 10mg tablets (Somex Pharma)","Simvastatin","02120400","Statins",5,"simvastatin"
54985,"Simvastatin 40mg/5ml oral suspension","Simvastatin","02120400","Statins",5,"simvastatin"
54992,"Atorvastatin 10mg/5ml oral suspension","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
55032,"Atorvastatin 10mg tablets (Dexcel-Pharma Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
55034,"Atorvastatin 40mg/5ml oral suspension","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
55444,"Atorvastatin 40mg tablets (Zentiva)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
55452,"Simvastatin 20mg tablets (Phoenix Healthcare Distribution Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
55727,"Atorvastatin 10mg tablets (Actavis UK Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
55912,"Pravastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
56016,"Lipitor 20mg chewable tablets (Pfizer Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
56065,"Simvastatin 20mg/5ml oral suspension sugar free (Waymade Healthcare Plc)","Simvastatin","02120400","Statins",5,"simvastatin"
56097,"Atorvastatin 10mg chewable tablets sugar free","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
56146,"Pravastatin 10mg tablets (Waymade Healthcare Plc)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
56165,"Atorvastatin 20mg chewable tablets sugar free","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
56182,"Atorvastatin 80mg tablets (Zentiva)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
56248,"Atorvastatin 20mg tablets (Sigma Pharmaceuticals Plc)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
56481,"Zocor 10mg tablets (Sigma Pharmaceuticals Plc)","Simvastatin","02120400","Statins",5,"simvastatin"
56494,"Zocor 20mg tablets (Sigma Pharmaceuticals Plc)","Simvastatin","02120400","Statins",5,"simvastatin"
56564,"Atorvastatin 20mg tablets (Almus Pharmaceuticals Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
56607,"Pravastatin 20mg tablets (Waymade Healthcare Plc)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
56735,"Pravastatin 20mg tablets (Mylan)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
56841,"Atorvastatin 40mg tablets (Dexcel-Pharma Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
56893,"Pravastatin 40mg tablets (Accord Healthcare Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
56916,"Pravastatin 40mg tablets (PLIVA Pharma Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
57108,"Pravastatin 40mg tablets (Waymade Healthcare Plc)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
57117,"Atorvastatin 80mg tablets (Waymade Healthcare Plc)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
57137,"Pravastatin 10mg tablets (Almus Pharmaceuticals Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
57296,"Pravastatin 20mg tablets (Phoenix Healthcare Distribution Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
57329,"Simvastatin 25mg/5ml oral suspension","Simvastatin","02120400","Statins",5,"simvastatin"
57348,"Atorvastatin 10mg tablets (Consilient Health Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
57397,"Pravastatin 10mg tablets (Accord Healthcare Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
57568,"Zocor 10mg tablets (Lexon (UK) Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
57763,"Rosuvastatin 10mg tablets (Waymade Healthcare Plc)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
57834,"Atorvastatin 40mg tablets (DE Pharmaceuticals)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
57836,"Atorvastatin 80mg tablets (Teva UK Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
57999,"Crestor 40mg tablets (Lexon (UK) Ltd)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
58041,"Atorvastatin 20mg tablets (Teva UK Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
58110,"Atorvastatin 20mg tablets (Zentiva)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
58315,"Simvastatin 20mg tablets (Waymade Healthcare Plc)","Simvastatin","02120400","Statins",5,"simvastatin"
58394,"Atorvastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
58418,"Atorvastatin 80mg tablets (A A H Pharmaceuticals Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
58617,"Rosuvastatin 20mg/5ml oral suspension","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
58742,"Atorvastatin 80mg tablets (Arrow Generics Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
58755,"Simvastatin 10mg tablets (Phoenix Healthcare Distribution Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
58834,"Atorvastatin 10mg tablets (DE Pharmaceuticals)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
58868,"Atorvastatin 10mg tablets (Sigma Pharmaceuticals Plc)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
59272,"Atorvastatin 20mg tablets (Waymade Healthcare Plc)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
59278,"Fluvastatin 20mg capsules (Zentiva)","Fluvastatin sodium","02120400","Statins",2,"fluvastatin"
59331,"Lipitor 10mg tablets (DE Pharmaceuticals)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
59357,"Atorvastatin 10mg tablets (Ranbaxy (UK) Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
59446,"Atorvastatin 40mg tablets (Almus Pharmaceuticals Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
59447,"Crestor 20mg tablets (Waymade Healthcare Plc)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
59452,"Rosuvastatin 5mg tablets (Waymade Healthcare Plc)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
59508,"Pravastatin 20mg tablets (Accord Healthcare Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
59776,"Atorvastatin 80mg tablets (Aspire Pharma Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
59859,"Atorvastatin 10mg tablets (Teva UK Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
60160,"Rosuvastatin 5mg tablets (Mawdsley-Brooks & Company Ltd)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
60251,"Pravastatin 10mg tablets (Sandoz Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
60464,"Atorvastatin 20mg/5ml oral suspension","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
60511,"Atorvastatin 40mg tablets (Ranbaxy (UK) Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
60607,"Atorvastatin 80mg tablets (DE Pharmaceuticals)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
