prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,ap_code
34762,87985001000027100,59131020,71,Aspirin 300mg Gastro-resistant tablet (Galen Ltd),Aspirin,300mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
18329,473711000001109,84994020,303,Enprin 75mg gastro-resistant tablets (Galpharm International Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
68764,23241511000001104,17408021,112,Molita 200mg/25mg modified-release capsules (Dr Reddy's Laboratories (UK) Ltd),Aspirin/Dipyridamole,25mg + 200mg,Modified-release capsule,Oral,02090000,Antiplatelet Products,February 2017,1
64837,26779011000001104,29679021,4,Ofcram PR 200mg capsules (Advanz Pharma),Dipyridamole,200mg,Modified-release capsule,Oral,02090000,Antiplatelet Products,December 2015,1
45840,64205001000027104,56069020,14,Aspirin 300mg Dispersible tablet (Numark Management Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,August 2011,1
836,454611000001104,83768020,156607,Plavix 75mg tablets (Sanofi),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
6696,281311000001104,77773020,4904,Micropirin 75mg gastro-resistant tablets (Dexcel-Pharma Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
50949,17879711000001102,02353020,4106,Aspirin 75mg tablets (A A H Pharmaceuticals Ltd),Aspirin,75mg,Tablet,Oral,02090000,Antiplatelet Products,January 2013,1
5882,36070011000001104,84976020,23481,Dipyridamole 50mg/5ml oral suspension sugar free,Dipyridamole,10mg/1ml,Oral suspension,Oral,02090000,Antiplatelet Products,February 2009,1
60694,12012511000001108,30279020,1,Aspirin 25mg/5ml oral solution,Aspirin,5mg/1ml,Oral solution,Oral,02090000/04070100/04070401/10010100,Antiplatelet Products/Non-Opioid And Compound Analgesics/Acute Migraine/Non-Steroidal Anti-Inflammatory Drugs,August 2014,1
32992,795611000001102,62496020,103,Aspirin 75mg gastro-resistant tablets (Viatris UK Healthcare Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,February 2009,1
24025,901211000001107,70471020,1817,Caprin 300mg gastro-resistant tablets (Pinewood Healthcare),Aspirin,300mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
