prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,ap_code
66973,32472211000001104,67744021,9297,Ticagrelor 60mg tablets,Ticagrelor,60mg,Tablet,Oral,02090000,Antiplatelet Products,August 2016,1
45905,18747911000001100,99683020,218,Clopidogrel 1mg/ml oral suspension,Clopidogrel hydrogen sulfate,1mg/1ml,Oral suspension,Oral,02090000,Antiplatelet Products,August 2011,1
78167,25705001000027104,51219020,356,Dipyridamole 25mg Tablet (IVAX Pharmaceuticals UK Ltd),Dipyridamole,25mg,Tablet,Oral,02090000,Antiplatelet Products,October 2019,1
35108,8456511000001101,91810020,4154,Dipyridamole 100mg/5ml oral suspension,Dipyridamole,20mg/1ml,Oral suspension,Oral,02090000,Antiplatelet Products,February 2009,1
18217,4930911000001106,78272020,1785,Aspirin 300mg orodispersible tablets sugar free,Aspirin,300mg,Orodispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
79389,158465001000027100,69135020,10,Platet 300mg Effervescent tablet (Roche Products Ltd),Aspirin,300mg,Effervescent tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,December 2019,1
9144,927411000001108,80899020,9793,Caprin 75mg gastro-resistant tablets (Wockhardt UK Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
21989,116715001000027100,63357020,1783,Cerebrovase 100mg Tablet (Ashbourne Pharmaceuticals Ltd),Dipyridamole,100mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
50555,13585411000001104,08038020,1,Aspirin 300mg dispersible tablets (DE Pharmaceuticals),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,January 2013,1
6666,36069911000001110,85724020,174637,Dipyridamole 200mg modified-release / Aspirin 25mg capsules,Aspirin/Dipyridamole,25mg + 200mg,Modified-release capsule,Oral,02090000,Antiplatelet Products,February 2009,1
41569,802811000001105,48776020,115,Aspirin 300mg tablets (A A H Pharmaceuticals Ltd),Aspirin,300mg,Tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,March 2010,1
31858,234645001000027100,86558020,1,Caspac xl 162.5mg Capsule (Pharmacia Ltd),Aspirin,162.5mg,Capsule,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
67521,12012311000001102,30277020,4,Aspirin 15mg/5ml oral suspension,Aspirin,3mg/1ml,Oral suspension,Oral,02090000/04070100/04070401/10010100,Antiplatelet Products/Non-Opioid And Compound Analgesics/Acute Migraine/Non-Steroidal Anti-Inflammatory Drugs,September 2016,1
8645,160195001000027100,69426020,507,Aspirin 300mg effervescent tablets,Aspirin,300mg,Tablets,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
34485,592811000001109,58873020,926,Aspirin 75mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,February 2009,1
69216,27963111000001100,31328021,2,Dipyridamole 200mg modified-release / Aspirin 25mg capsules (A A H Pharmaceuticals Ltd),Aspirin/Dipyridamole,25mg + 200mg,Modified-release capsule,Oral,02090000,Antiplatelet Products,April 2017,1
645,322232006,75037020,791,Aspirin 300mg suppositories,Aspirin,300mg,Suppository,Rectal,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
32210,442511000001105,48770020,2001,Aspirin 300mg dispersible tablets (Accord-UK Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
70549,32968711000001108,69973021,10,Danamep 75mg dispersible tablets (Ecogen Europe Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,October 2017,1
34309,785211000001100,48775020,82,Aspirin 300mg dispersible tablets (A A H Pharmaceuticals Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
30920,117975001000027100,63543020,14,Aspirin 300mg Dispersible tablet (M & A Pharmachem Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
33668,109735001000027100,62403020,26,Aspirin 300mg Dispersible tablet (Rusco Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
64929,8456311000001107,19765020,16,Dipyridamole 200mg/5ml oral suspension,Dipyridamole,40mg/1ml,Oral suspension,Oral,02090000,Antiplatelet Products,December 2015,1
74302,12014111000001108,30301020,1,Aspirin 75mg/5ml oral suspension,Aspirin,15mg/1ml,Oral suspension,Oral,02090000,Antiplatelet Products,January 2019,1
57036,16247711000001100,77043020,18,Clopidogrel 75mg tablets (Viatris UK Healthcare Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,September 2013,1
53751,17861911000001108,02380020,166,Clopidogrel 75mg tablets (Phoenix Healthcare Distribution Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,February 2013,1
33676,173911000001105,63290020,33,Aspirin 75mg dispersible tablets (Kent Pharma (UK) Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,February 2009,1
77623,167885001000027100,70470020,21,Caprin 324mg Modified-release tablet (Pinewood Healthcare),Aspirin,324mg,Modified-Release Tablet,,02090000,Antiplatelet Products,August 2019,1
8185,4532311000001104,74303020,2109,Disprin CV 300mg modified-release tablets (Reckitt Benckiser Healthcare (UK) Ltd),Aspirin,300mg,Modified-release tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
67037,22700111000001104,17199021,49,Clopidogrel 75mg tablets (Zentiva Pharma UK Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,August 2016,1
71192,32394411000001100,62254021,1,Aspirin 75mg tablets (Kent Pharma (UK) Ltd),Aspirin,75mg,Tablet,Oral,02090000,Antiplatelet Products,December 2017,1
67858,30798211000001104,60151021,1,Aspirin 25mg capsules,Aspirin,25mg,Capsule,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,October 2016,1
1137,22115001000027100,50795020,179797,Nu-seals aspirin ec 300mg Gastro-resistant tablet (Eli Lilly and Company Ltd),Aspirin,300mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
2105,81025001000027100,58313020,38,Solprin 300mg Tablet (Reckitt Benckiser Healthcare (UK) Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
1814,319759002,62695020,519119,Dipyridamole 100mg tablets,Dipyridamole,100mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
60777,22611211000001104,16679021,1,Aspirin 75mg gastro-resistant tablets (DE Pharmaceuticals),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,August 2014,1
30976,194955001000027100,74842020,25,Modaplate 100mg Tablet (Berk Pharmaceuticals Ltd),Dipyridamole,100mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
74096,8280811000001105,19014020,1,Aspirin 50mg/5ml oral suspension,Aspirin,10mg/1ml,Oral suspension,Oral,02090000/04070100/04070401/10010100,Antiplatelet Products/Non-Opioid And Compound Analgesics/Acute Migraine/Non-Steroidal Anti-Inflammatory Drugs,December 2018,1
39738,256995001000027100,96734020,827,Aspirin 162.5mg modified-release capsules,Aspirin,162.5mg,Modified Release Capsules,Oral,02090000,Antiplatelet Products,June 2009,1
9939,4650611000001100,68708020,4917,Aspirin 500mg effervescent tablets sugar free,Aspirin,500mg,Effervescent tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
43806,575111000001104,57869020,352,Aspirin 300mg gastro-resistant tablets (Sandoz Ltd),Aspirin,300mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,October 2010,1
22618,88525001000027100,59214020,213,Solprin 75mg Tablet (Reckitt Benckiser Healthcare (UK) Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,February 2009,1
54430,17629911000001104,02352020,1,Aspirin 75mg tablets (Alliance Healthcare (Distribution) Ltd),Aspirin,75mg,Tablet,Oral,02090000,Antiplatelet Products,April 2013,1
85694,30991911000001108,60300021,2,Boots Aspirin 300mg dispersible tablets (The Boots Company Plc),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2022,1
67567,8456611000001102,19770020,5,Dipyridamole 100mg/5ml oral solution,Dipyridamole,20mg/1ml,Oral solution,Oral,02090000,Antiplatelet Products,September 2016,1
84924,21777011000001104,47553020,11,Aspirin 300mg dispersible tablets (Waymade Healthcare Plc),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,October 2021,1
714,39020811000001104,62696020,2019561,Dipyridamole 200mg modified-release capsules,Dipyridamole,200mg,Modified-release capsule,Oral,02090000,Antiplatelet Products,February 2009,1
75916,11712811000001108,29733020,2,Aspirin 100mg/5ml oral suspension,Aspirin,20mg/1ml,Oral suspension,Oral,02090000/04070100/04070401/10010100,Antiplatelet Products/Non-Opioid And Compound Analgesics/Acute Migraine/Non-Steroidal Anti-Inflammatory Drugs,April 2019,1
19189,218785001000027100,82090020,111,Micropirin 75mg Gastro-resistant tablet (Ratiopharm UK Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,February 2009,1
76174,339811000001108,61742020,3,Dipyridamole 50mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd),Dipyridamole,10mg/1ml,Oral suspension,Oral,02090000,Antiplatelet Products,May 2019,1
85696,21936211000001108,47191020,8,Clopidogrel 75mg tablets (Waymade Healthcare Plc),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,February 2022,1
80777,34672011000001104,78182021,12,Brilique 90mg orodispersible tablets (AstraZeneca UK Ltd),Ticagrelor,90mg,Orodispersible tablet,Oral,02090000,Antiplatelet Products,May 2020,1
54700,15933611000001104,76842020,51,Clopidogrel 75mg tablets (A A H Pharmaceuticals Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,April 2013,1
43709,9790111000001106,69677020,10,Aspirin 75mg gastro-resistant tablets (Almus Pharmaceuticals Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,October 2010,1
51358,752511000001101,60705020,4,Dipyridamole 100mg tablets (Viatris UK Healthcare Ltd),Dipyridamole,100mg,Tablet,Oral,02090000,Antiplatelet Products,January 2013,1
84784,29996411000001108,53625021,6,Aspirin 300mg dispersible tablets (Mawdsley-Brooks & Company Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,October 2021,1
74786,307211000001105,02355020,2624,Aspirin 75mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,February 2019,1
6007,183311000001101,84144020,50655,Nu-Seals 300 gastro-resistant tablets (Alliance Pharmaceuticals Ltd),Aspirin,300mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
54565,12430611000001108,02343020,2,Aspirin 75mg dispersible tablets (Lloyds Pharmacy Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,April 2013,1
36521,198865001000027100,75811020,11,Aspirin 500mg modified-release tablets,Aspirin,500mg,Modified Release Tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
34666,65265001000027104,56222020,325,Aspirin ec 300mg Gastro-resistant tablet (A A H Pharmaceuticals Ltd),Aspirin,300mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
43060,6085001000027107,48762020,236,Aspirin 300mg Soluble tablet (Celltech Pharma Europe Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,August 2010,1
57585,5614311000001104,02364020,123,Asasantin Retard capsules (Dowelhurst Ltd),Aspirin/Dipyridamole,25mg + 200mg,Modified-release capsule,Oral,02090000,Antiplatelet Products,October 2013,1
25335,38411000001101,79131020,15566,PostMI 75 EC tablets (Ashbourne Pharmaceuticals Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
56996,21776611000001100,47188020,6,Aspirin 75mg dispersible tablets (Waymade Healthcare Plc),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,September 2013,1
9301,39645001000027104,52996020,6427,Aspirin 100mg modified-release tablets,Aspirin,100mg,Modified Release Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
33662,65785001000027104,56283020,3,Aspirin 300mg Dispersible tablet (A A H Pharmaceuticals Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
29848,167865001000027100,70467020,4,Aspirin 300mg with Glycine 150mg chewable tablets,Aspirin,300mg + 150mg,Chewable Tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
6006,414311000001102,84142020,79417,Nu-Seals 75 gastro-resistant tablets (Alliance Pharmaceuticals Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,February 2009,1
3832,452911000001101,84256020,321526,Persantin Retard 200mg capsules (Boehringer Ingelheim Ltd),Dipyridamole,200mg,Modified-release capsule,Oral,02090000,Antiplatelet Products,February 2009,1
40381,23925001000027100,51008020,97,Aspirin 75mg Soluble tablet (C P Pharmaceuticals Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,September 2009,1
41766,4648711000001109,95905020,11,Maximum Strength Aspro Clear 500mg effervescent tablets (Bayer Plc),Aspirin,500mg,Effervescent tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,March 2010,1
22232,4906811000001106,75436020,64,Disprin Direct 300mg orodispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd),Aspirin,300mg,Orodispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
31870,50725001000027104,54361020,18,Aspirin 320mg tablets,Aspirin,320mg,Tablets,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
38998,13663511000001100,94936020,17,Plavix 300mg tablets (Sanofi),Clopidogrel hydrogen sulfate,300mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
58331,13435711000001102,75319020,1147,Aspirin 300mg gastro-resistant tablets (Viatris UK Healthcare Ltd),Aspirin,300mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,December 2013,1
70841,38935001000027104,52904020,24,Aspirin 300mg Dispersible tablet (Family Health),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,December 2017,1
63603,16185001000027100,50070020,99,Laboprin Tablet (Laboratories For Applied Biology Ltd),Aspirin,300mg,Tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,July 2015,1
77477,5400911000001107,02366020,175,Plavix 75mg tablets (Waymade Healthcare Plc),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,August 2019,1
66171,92875001000027100,59825020,5,Aspirin 150mg Suppository (Distriphar (UK)),Aspirin,150mg,Suppository,Rectal,04070100,Non-Opioid And Compound Analgesics,May 2016,1
395,36475001000027104,52557020,3817,Aspirin mixture,Aspirin,,Mixture,Oromucosal,04070100,Non-Opioid And Compound Analgesics,February 2009,1
75212,25645001000027104,51211020,2,Dipyridamole 100mg Tablet (Berk Pharmaceuticals Ltd),Dipyridamole,100mg,Tablet,Oral,02090000,Antiplatelet Products,March 2019,1
23878,222545001000027100,83262020,1227,Nu-seals cardio ec 75mg Gastro-resistant tablet (Genus Pharmaceuticals Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,February 2009,1
21921,198365001000027100,75686020,314,Postmi ec 300mg Gastro-resistant tablet (Ashbourne Pharmaceuticals Ltd),Aspirin,300mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
25284,116705001000027100,63356020,136,Cerebrovase 25mg Tablet (Ashbourne Pharmaceuticals Ltd),Dipyridamole,25mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
17704,158455001000027100,69134020,4714,Platet 100mg Effervescent tablet (Roche Products Ltd),Aspirin,100mg,Effervescent Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
10305,156025001000027100,68710020,356,Aspirin 162.5mg capsules,Aspirin,162.5mg,Capsules,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
