prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,steroid_code,steroid_code2,aap_code
31098,10675411000001108,91141020,4744,Aripiprazole 15mg orodispersible tablets sugar free,Aripiprazole,15mg,Orodispersible tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
32076,10675311000001102,91139020,6350,Aripiprazole 10mg orodispersible tablets sugar free,Aripiprazole,10mg,Orodispersible tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
79893,33611211000001104,71082021,0,Quetiapine 25mg tablets (Viatris UK Healthcare Ltd),Quetiapine fumarate,25mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2020,0,0,1
70192,33391011000001100,70558021,4609,Quetiapine 20mg/ml oral suspension sugar free,Quetiapine fumarate,20mg/1ml,Oral suspension,Oral,04020102,Second-Generation Antipsychotic Drugs,September 2017,0,0,1
9475,429611000001104,73798020,10454,Risperdal 4mg tablets (Janssen-Cilag Ltd),Risperidone,4mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
71367,19607911000001100,78196020,126,Olanzapine 5mg orodispersible tablets sugar free (Accord-UK Ltd),Olanzapine,5mg,Orodispersible tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,January 2018,0,0,1
63598,7836211000001103,68228020,0,Amisulpride 400mg tablets (Zentiva Pharma UK Ltd),Amisulpride,400mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,July 2015,0,0,1
57270,14015911000001104,35326020,152,Olanzapine 2.5mg/5ml oral suspension,Olanzapine,500microgram/1ml,Oral suspension,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,September 2013,0,0,1
14112,3832011000001100,72577020,2361,Clozaril 100mg tablets (Viatris UK Healthcare Ltd),Clozapine,100mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
78578,28489111000001108,44275021,75,Aripiprazole 15mg tablets (A A H Pharmaceuticals Ltd),Aripiprazole,15mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,November 2019,0,0,1
79488,18507611000001104,03539020,62,Risperidone 500microgram tablets (Almus Pharmaceuticals Ltd),Risperidone,500microgram,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,December 2019,0,0,1
84574,16235411000001104,03496020,1,Risperdal 4mg tablets (Lexon (UK) Ltd),Risperidone,4mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,September 2021,0,0,1
82417,20312811000001100,40529020,0,Olanzapine 2.5mg tablets (Sandoz Ltd),Olanzapine,2.5mg,Tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,January 2021,0,0,1
