prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,vdd_code
82565,4171611000001106,13752020,100,Generic Vivioptal capsules,Adenosine/Sodium molybdate anhydrous/Biotin/Colecalciferol/Choline hydrogen tartrate/Cobaltous sulfate monohydrate/Copper sulfate monohydrate/Cyanocobalamin/Dexpanthenol/L-Lysine monohydrochloride/Calcium hydrogen phosphate anhydrous/Ferrous sulfate dried/Folic acid/Magnesium glycerophosphate/Inositol/Lecithin/Ethyl linoleate/Manganese sulfate monohydrate/Nicotinamide/Orotic acid anhydrous/Potassium sulfate/Pyridoxine hydrochloride/Riboflavin/Rutoside/Thiamine nitrate/Vitamin A palmitate/Calcium ascorbate/Alpha tocopheryl acetate/Zinc oxide,750microgram + 80microgram + 50microgram + 400unit + 50mg + 100microgram + 500microgram + 3microgram + 10mg + 25mg + 35mg + 10mg + 400microgram + 40mg + 30mg + 60mg + 28mg + 500microgram + 25mg + 30mg + 8mg + 6.08mg + 3mg + 20mg + 5mg + 5000unit + 60mg + 10mg + 500microgram,Capsule,Oral,09060700,Multivitamin And Multimineral Preparations,January 2021,1
84569,39152411000001104,96323021,5,"ColeDose D3 20,000unit tablets (TriOn Pharma Ltd)",Colecalciferol,20000unit,Tablet,Oral,09060400,Vitamin D,September 2021,1
64083,22624711000001108,16782021,0,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets (DE Pharmaceuticals),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,August 2015,1
60437,22779311000001100,17260021,1,"E-D3 3,000units/ml oral solution (Ennogen Healthcare Ltd)",Colecalciferol,3000unit/1ml,Oral solution,Oral,09060400,Vitamin D,July 2014,1
70027,32847111000001104,70257021,735,ColeKal-D3 800unit capsules (Essential-Healthcare Ltd),Colecalciferol,800unit,Capsule,Oral,09060400,Vitamin D,September 2017,1
40268,257225001000027100,96826020,16,Calcium lactate gluconate with calcium carbonate and colecalciferol 600mg calcium with 400iu effervescent tablets,Calcium Carbonate/Calcium Lactate Gluconate/Colecalciferol,600mg calcium + 400IU vitamin D3,Effervescent Tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,August 2009,1
88732,41503311000001104,05777022,1,"Aactive D3 2,000units/ml oral drops (TriOn Pharma Ltd)",Colecalciferol,2000unit/1ml,Oral drops,Oral,09060400,Vitamin D,September 2023,1
59386,21611711000001104,46642020,4,"Cubicole D3 5,000unit capsules (Cubic Pharmaceuticals Ltd)",Colecalciferol,5000unit,Capsule,Oral,09060400,Vitamin D,April 2014,1
64532,28393711000001104,44803021,1775,"Thorens 10,000units/ml oral drops (Galen Ltd)",Colecalciferol,10000unit/1ml,Oral drops,Oral,09060400,Vitamin D,October 2015,1
80030,34967311000001104,79162021,859,SunVit-D3 400unit with Calcium 500mg chewable tablets (SunVit-D3 Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,February 2020,1
59841,23661811000001100,21609021,315,"Colecalciferol 2,000unit orodispersible tablets sugar free",Colecalciferol,2000unit,Orodispersible tablet,Oral,09060400,Vitamin D,May 2014,1
57218,21611511000001108,46641020,20,"Cubicole D3 3,000unit capsules (Cubic Pharmaceuticals Ltd)",Colecalciferol,3000unit,Capsule,Oral,09060400,Vitamin D,September 2013,1
46419,19368411000001104,00146021,2267972,Adcal-D3 750mg/200unit caplets (Kyowa Kirin International UK NewCo Ltd),Calcium carbonate/Colecalciferol,750mg + 200unit,Tablet,Oral,09060400,Vitamin D,November 2011,1
41427,11930411000001104,97770020,1964552,Adcal-D3 Lemon chewable tablets (Kyowa Kirin International UK NewCo Ltd),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,March 2010,1
50387,20907211000001108,43686020,2267,"Aciferol D3 1,000unit tablets (Rhodes Pharma Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,January 2013,1
38928,45611000001108,95933020,2776891,Calcichew D3 Forte chewable tablets (Forum Health Products Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,February 2009,1
52315,21301511000001100,45361020,1423,Colecalciferol 500unit capsules,Colecalciferol,500unit,Capsule,Oral,09060400,Vitamin D,January 2013,1
72254,34941211000001108,78956021,63,"Colecalciferol 2,500unit tablets",Colecalciferol,2500unit,Tablet,Oral,09060400,Vitamin D,May 2018,1
45607,11815811000001104,99450020,197,"Colecalciferol 10,000units/5ml oral suspension",Colecalciferol,2000unit/1ml,Oral suspension,Oral,09060400,Vitamin D,June 2011,1
76864,36508211000001104,85065021,9,Alendronic acid 70mg / Colecalciferol 140microgram tablets,Colecalciferol/Alendronate sodium,140microgram + 70mg,Tablet,Oral,06060200,Bisphosphonates And Other Drugs Affecting Bone Metabolism,July 2019,1
53010,21301711000001104,45362020,2704,Vitamin D3 500IU capsules (Nature's Remedy Ltd),Colecalciferol,500unit,Capsule,Oral,09060400,Vitamin D,January 2013,1
62496,28002011000001104,43052021,19354,Calcichew D3 1000mg/800unit Once Daily chewable tablets (Forum Health Products Ltd),Calcium carbonate/Colecalciferol,2.5gram + 800iu,Chewable tablet,Oral,09060400,Vitamin D,March 2015,1
71195,34478811000001100,77027021,44,"SunVit-D3 10,000units/5ml oral solution (SunVit-D3 Ltd)",Colecalciferol,2000unit/1ml,Oral solution,Oral,09060400,Vitamin D,December 2017,1
60675,24495811000001100,26607021,18851,"Colecalciferol 3,200unit capsules",Colecalciferol,3200unit,Capsule,Oral,09060400,Vitamin D,August 2014,1
49149,21244711000001108,45082020,91191,Colecalciferol 800unit tablets,Colecalciferol,800unit,Tablet,Oral,09060400,Vitamin D,January 2013,1
48908,20547611000001108,42034020,63863,"Hux D3 20,000unit capsules (Huxley Europe Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,January 2013,1
59659,23270511000001104,20039021,7,Lamberts Vitamin D3 280unit chewable tablets (Lamberts Healthcare Ltd),Colecalciferol,280unit,Chewable tablet,Oral,09060400,Vitamin D,April 2014,1
49679,19504011000001100,37377020,29987,"Valupak Vitamin D3 1,000unit tablets (BR Pharmaceuticals Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,January 2013,1
62099,23292311000001100,19981021,14,"D-Vit3 1,000unit tablets (IPS Specials)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,January 2015,1
65942,24662511000001104,27089021,11,D-Max 400unit capsules (Nutraconcepts Ltd),Colecalciferol,400unit,Capsule,Oral,09060400,Vitamin D,April 2016,1
56906,21611911000001100,46631020,18,"Cubicole D3 10,000unit capsules (Cubic Pharmaceuticals Ltd)",Colecalciferol,10000unit,Capsule,Oral,09060400,Vitamin D,August 2013,1
85029,39096611000001104,95591021,50,"Colecalciferol 1,000units/dose oral spray sugar free",Colecalciferol,1000unit/1dose,Not applicable,Route of administration not applicable,09060400,Vitamin D,December 2021,1
69168,247945001000027100,93439020,11,Colecalciferol oral liquid,Colecalciferol,,,,09060400,Vitamin D,April 2017,1
47078,19182711000001104,00653021,9912,"Pro D3 10,000unit capsules (Synergy Biologics Ltd)",Colecalciferol,10000unit,Capsule,Oral,09060400,Vitamin D,May 2012,1
85739,38231811000001104,91819021,3,"RestorD3 40,000unit capsules (TriOn Pharma Ltd)",Colecalciferol,40000unit,Capsule,Oral,09060400,Vitamin D,March 2022,1
45667,17334511000001108,99473020,152762,"Colecalciferol 1,000unit tablets",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,July 2011,1
58599,22454811000001104,16361021,3,Pro D3 folic capsules (Synergy Biologics Ltd),Folic acid/Colecalciferol,400microgram + 1000unit,Capsule,Oral,09010200/09060400,Drugs Used In Megaloblastic Anaemias/Vitamin D,January 2014,1
54259,17514311000001108,37463020,39,Solgar Vitamin D3 400unit capsules (Solgar Vitamin and Herb),Colecalciferol,400unit,Capsule,Oral,09060400,Vitamin D,March 2013,1
7320,4248711000001106,80198020,259580,Calfovit D3 oral powder sachets (A. Menarini Farmaceutica Internazionale SRL),Colecalciferol/Calcium phosphate,800unit + 3.1gram,Powder,Oral,06060000/09060400,Products Affecting Bone Metabolism/Vitamin D,February 2009,1
72608,34581011000001104,77337021,135,EveryDay-D 400unit chewable tablets (Vega Nutritionals Ltd),Colecalciferol,400unit,Chewable tablet,Oral,09060400,Vitamin D,July 2018,1
36981,13401111000001106,94210020,62296,Colecalciferol 400unit / Calcium carbonate 1.5g effervescent tablets,Calcium carbonate/Colecalciferol,1.5gram + 400unit,Effervescent tablet,Oral,09060400,Vitamin D,February 2009,1
23296,242775001000027100,90859020,17822,Calcium carbonate 1.25g with Colecalciferol 10micrograms sugar free chewable tablets,Calcium Carbonate/Colecalciferol,1.25g + 10micrograms,Chewable Tablets Sugar-Free,Oral,09050101/09060400,Calcium Supplements/Vitamin D,February 2009,1
37610,205615001000027100,77767020,43,Omega 3 fish oils with other ingredients Capsule,Ascorbic Acid/Cyanocobalamin/Copper Sulphate/Folic Acid/Manganese Sulphate/Pyridoxine Hydrochloride/Riboflavin/Alpha Tocopherol/Zinc Sulphate/Lecithin/Colecalciferol/Thiamine Nitrate/Marine Fish Oil/Sodium Selenite/Garlic Oil/Chromic Chloride/C,,Capsule,Oral,09060750,-,February 2009,1
59827,23905311000001108,21573021,2,"Cubicole D3 2,200unit tablets (Cubic Pharmaceuticals Ltd)",Colecalciferol,2200unit,Tablet,Oral,09060400,Vitamin D,May 2014,1
65398,30994211000001104,60644021,827,"Colecalciferol 50,000units/1ml oral solution unit dose ampoules sugar free",Colecalciferol,50000unit/1ml,Oral solution,Oral,09060400,Vitamin D,February 2016,1
50181,18024111000001108,37675020,135,"Colecalciferol 20,000units/ml oral drops",Colecalciferol,20000unit/1ml,Oral drops,Oral,09060400,Vitamin D,January 2013,1
63868,21949511000001100,47852020,1,"Colecalciferol 1,000unit tablets (Waymade Healthcare Plc)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,July 2015,1
53862,21256011000001100,44925020,9,"ColeVit D3 2,200unit capsules (Sterling Pharmaceuticals Ltd)",Colecalciferol,2200unit,Capsule,Oral,09060400,Vitamin D,February 2013,1
39852,4345611000001104,96453020,357,Minadex tonic (Seven Seas Ltd),Vitamin A/Manganese sulfate/Colecalciferol/Copper sulfate/Calcium glycerophosphate/Potassium glycerophosphate/Iron,130unit/1ml + 76microgram/1ml + 13unit/1ml + 100microgram/1ml + 2.25mg/1ml + 225microgram/1ml + 2.4mg/1ml,Oral emulsion,Oral,09060700,Multivitamin And Multimineral Preparations,August 2009,1
47076,19183311000001104,00663021,1994,"Pro D3 30,000unit capsules (Synergy Biologics Ltd)",Colecalciferol,30000unit,Capsule,Oral,09060400,Vitamin D,May 2012,1
76446,15214511000001108,36021020,5,Generic Sandocal+D 600 effervescent tablets,Calcium lactate gluconate/Calcium carbonate/Colecalciferol,1.358gram + 1.05gram + 400unit,Effervescent tablet,Oral,09060400,Vitamin D,May 2019,1
63949,29294111000001108,48981021,44,"Colecalciferol 3,000units/ml oral solution (Alliance Healthcare (Distribution) Ltd)",Colecalciferol,3000unit/1ml,Oral solution,Oral,09060400,Vitamin D,August 2015,1
83626,34966811000001108,79161021,111,SunVit-D3 200unit with Calcium 500mg chewable tablets (SunVit-D3 Ltd),Calcium carbonate/Colecalciferol,1.25gram + 200unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,April 2021,1
83297,39121911000001104,96355021,42,"Thorens 25,000unit capsules (Galen Ltd)",Colecalciferol,25000unit,Capsule,Oral,09060400,Vitamin D,March 2021,1
48846,18539611000001104,37911020,409,"Colecalciferol 10,000units/ml oral solution",Colecalciferol,10000unit/1ml,Oral solution,Oral,09060400,Vitamin D,January 2013,1
43922,17545811000001108,98304020,114624,Calcichew D3 500mg/400unit caplets (Takeda UK Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Tablet,Oral,09060400,Vitamin D,November 2010,1
49447,20282011000001100,41217020,84,"Pro D3 forte 3,000units/ml liquid (Synergy Biologics Ltd)",Colecalciferol,3000unit/1ml,Oral solution,Oral,09060400,Vitamin D,January 2013,1
71671,34873711000001108,78890021,5942,SunVit-D3 800unit capsules (SunVit-D3 Ltd),Colecalciferol,800unit,Capsule,Oral,09060400,Vitamin D,February 2018,1
66293,28913311000001108,48526021,7,Natures Aid Vitamin D3 200units/drop for infants and children oral drops (Natures Aid Ltd),Colecalciferol,200unit/1drop,Oral drops,Oral,09060400,Vitamin D,June 2016,1
59454,22852811000001100,17453021,283330,Evacal D3 1500mg/400unit chewable tablets (Teva UK Ltd),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,April 2014,1
88599,41495711000001104,05572022,1,"Colecalciferol 3,000units/dose oral spray sugar free",Colecalciferol,3000unit/1dose,Not applicable,Route of administration not applicable,09060400,Vitamin D,August 2023,1
50600,20932711000001108,43751020,1853,"Colecalciferol 10,000unit tablets",Colecalciferol,10000unit,Tablet,Oral,09060400,Vitamin D,January 2013,1
53861,20932811000001100,43753020,757,"Colecalciferol 2,200unit tablets",Colecalciferol,2200unit,Tablet,Oral,09060400,Vitamin D,February 2013,1
70202,34173211000001104,75890021,654,SunVit-D3 400unit capsules (SunVit-D3 Ltd),Colecalciferol,400unit,Capsule,Oral,09060400,Vitamin D,September 2017,1
63957,29317511000001100,48982021,54,"Colecalciferol 3,000units/ml oral solution (Thame Laboratories Ltd)",Colecalciferol,3000unit/1ml,Oral solution,Oral,09060400,Vitamin D,August 2015,1
57508,16143911000001104,08008020,1836,Calcichew D3 Forte chewable tablets (Lexon (UK) Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,October 2013,1
55194,21677211000001108,46630020,2,"Colecalciferol 20,000unit capsules (A A H Pharmaceuticals Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,May 2013,1
47183,18519511000001108,00525021,302,"Colecalciferol 5,000unit capsules",Colecalciferol,5000unit,Capsule,Oral,00000000,Unknown,May 2012,1
88553,40109011000001104,99950021,1,Aactive D3 600unit capsules (TriOn Pharma Ltd),Colecalciferol,600unit,Capsule,Oral,09060400,Vitamin D,August 2023,1
47166,19920511000001104,00764021,1157694,Fultium-D3 800unit capsules (Internis Pharmaceuticals Ltd),Colecalciferol,800unit,Capsule,Oral,09060400,Vitamin D,May 2012,1
85598,39151411000001104,96219021,31,"ColeDose D3 2,000unit tablets (TriOn Pharma Ltd)",Colecalciferol,2000unit,Tablet,Oral,09060400,Vitamin D,February 2022,1
85618,39391811000001104,97494021,19,"SunVit-D3 4,000unit tablets (SunVit-D3 Ltd)",Colecalciferol,4000unit,Tablet,Oral,09060400,Vitamin D,February 2022,1
63099,22564211000001100,16519021,105,Colecalciferol 800unit capsules (A A H Pharmaceuticals Ltd),Colecalciferol,800unit,Capsule,Oral,09060400,Vitamin D,May 2015,1
49150,20113611000001104,40227020,355,Colecalciferol 400units/dose oral spray sugar free,Colecalciferol,400unit/1dose,Not applicable,Route of administration not applicable,09060400,Vitamin D,January 2013,1
73997,5529011000001101,08003020,1157,Calcichew D3 Forte chewable tablets (Dowelhurst Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,December 2018,1
87862,39149211000001104,96200021,2,"Colecalciferol 1,440units/ml oral solution sugar free",Colecalciferol,1440unit/1ml,Oral solution,Oral,09060400,Vitamin D,March 2023,1
88749,37591011000001104,89393021,1,"Colecalciferol 1,000unit capsules (Colonis Pharma Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,September 2023,1
62642,11549311000001100,29351020,59,Seven Seas Extra High Strength Pure Cod Liver Oil 1050mg capsules (Seven Seas Ltd),Cod liver oil/Colecalciferol/Retinol,1.05gram +  + ,Capsule,Oral,09040251,Nutritional Supplements,March 2015,1
53368,20350611000001104,40749020,10,Lloydspharmacy Cod Liver Oil 500mg capsules (Lloyds Pharmacy Ltd),Cod liver oil/Retinol/Colecalciferol,500mg +  + ,Capsule,Oral,09040251,Nutritional Supplements,January 2013,1
51082,19626311000001108,38406020,2128,"Colecalciferol 2,000units/ml oral drops sugar free",Colecalciferol,2000unit/1ml,Oral drops,Oral,09060400,Vitamin D,January 2013,1
86749,40472211000001104,01702022,24,"SunVit-D3 2,740units/ml oral drops (SunVit-D3 Ltd)",Colecalciferol,2740unit/1ml,Oral drops,Oral,09060400,Vitamin D,September 2022,1
77969,34939011000001100,78885021,1,"Premier Vitamin D3 1,000unit tablets (Premier Health Products Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,September 2019,1
88129,40209911000001104,00103022,2,Prohealth Vitamin D3 10micrograms (400units) tablets (Pro Health Solutions Ltd),Colecalciferol,400unit,Tablet,Oral,09060400,Vitamin D,May 2023,1
72481,34865311000001104,78704021,92,"Vitamin D3 1,000unit oral drops (Nutri Advanced Ltd)",Colecalciferol,1000unit/1ml,Oral drops,Oral,09060400,Vitamin D,July 2018,1
86158,39086111000001104,95612021,2,DailyD Vitamin D3 400unit capsules (Kora Healthcare),Colecalciferol,400unit,Capsule,Oral,09060400,Vitamin D,May 2022,1
87468,39114211000001104,95467021,9,SunVit-D3 800unit Vegan tablets (SunVit-D3 Ltd),Colecalciferol,800unit,Tablet,Oral,09060400,Vitamin D,January 2023,1
88146,17617411000001104,08000020,1,Calcichew D3 chewable tablets (Necessity Supplies Ltd),Calcium carbonate/Colecalciferol,1.25gram + 200unit,Chewable tablet,Oral,09060400,Vitamin D,May 2023,1
75759,34943211000001108,79111021,32,"ColeKal-D3 4,000unit tablets (Essential-Healthcare Ltd)",Colecalciferol,4000unit,Tablet,Oral,09060400,Vitamin D,April 2019,1
71511,34173511000001108,75889021,154,"SunVit-D3 2,200unit capsules (SunVit-D3 Ltd)",Colecalciferol,2200unit,Capsule,Oral,09060400,Vitamin D,January 2018,1
83225,39153811000001104,96174021,18,"ColeDose D3 50,000unit capsules (TriOn Pharma Ltd)",Colecalciferol,50000unit,Capsule,Oral,09060400,Vitamin D,March 2021,1
75956,32827311000001104,69724021,17,"HealthAid Vitamin D3 5,000unit capsules (HealthAid Ltd)",Colecalciferol,5000unit,Capsule,Oral,09060400,Vitamin D,April 2019,1
81687,38056711000001104,91030021,44,ColeDose D3 800unit tablets (TriOn Pharma Ltd),Colecalciferol,800unit,Tablet,Oral,09060400,Vitamin D,September 2020,1
63163,28784211000001108,46535021,16060,"Fultium-D3 20,000unit capsules (Internis Pharmaceuticals Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,May 2015,1
49543,19366311000001104,38089020,1357,Lamberts Vitamin D3 400unit tablets (Lamberts Healthcare Ltd),Colecalciferol,400unit,Tablet,Oral,09060400,Vitamin D,January 2013,1
60290,19487811000001108,37013020,5,"Colecalciferol 20,000unit capsules (Huxley Europe Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,July 2014,1
54657,21172011000001100,44939020,343,"Aciferol D3 5,000unit tablets (Rhodes Pharma Ltd)",Colecalciferol,5000unit,Tablet,Oral,09060400,Vitamin D,April 2013,1
37575,249915001000027100,94358020,1687,Risedronate sodium 35mg with calcium carbonate 2500mg & colecalciferol 22micrograms tablets and granules,Calcium Carbonate/Colecalciferol/Risedronate Sodium,35mg + (2500mg + 22micrograms),Tablets + Granules,Oral,06060200/09050101,Bisphosphonates And Other Drugs Affecting Bone Metabolism/Calcium Supplements,February 2009,1
56294,19677711000001104,38436020,2,"Colecalciferol 30,000units/5ml oral solution",Colecalciferol,6000unit/1ml,Oral solution,Oral,09060400,Vitamin D,August 2013,1
62876,28546011000001104,44742021,780,"Aviticol 20,000unit capsules (Colonis Pharma Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,April 2015,1
81439,38055811000001104,91282021,106,"ColeDose D3 1,000unit capsules (TriOn Pharma Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,August 2020,1
50260,20293511000001100,41230020,138,"Colecalciferol 2,000units/ml oral solution sugar free",Colecalciferol,2000unit/1ml,Oral solution,Oral,09060400,Vitamin D,January 2013,1
57862,21610611000001100,46633020,13,Cubicole D3 600unit capsules (Cubic Pharmaceuticals Ltd),Colecalciferol,600unit,Capsule,Oral,09060400,Vitamin D,December 2013,1
57046,20007311000001108,39774020,43,"Colecalciferol 300,000units/1ml solution for injection ampoules",Colecalciferol,300000unit/1ml,Solution for injection,Intramuscular,09060400,Vitamin D,September 2013,1
47720,19886911000001108,00902021,8,"ColeVit D3 3,000units/ml oral solution (Sterling Pharmaceuticals Ltd)",Colecalciferol,3000unit/1ml,Oral solution,Oral,00000000,Unknown,August 2012,1
47665,305275001000027100,00969021,10,Calcium carbonate 400mg with Colecalciferol 100 units chewable tablets,Calcium Carbonate/Colecalciferol,400mg + 100 units,Chewable Tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,August 2012,1
63879,21680111000001108,46636020,1,"Colecalciferol 1,000unit tablets (Tor Generics Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,July 2015,1
54123,21171411000001104,44944020,316,"Aciferol D3 2,200unit tablets (Rhodes Pharma Ltd)",Colecalciferol,2200unit,Tablet,Oral,09060400,Vitamin D,March 2013,1
76101,17309211000001100,37357020,4,Solgar Vitamin D3 600unit capsules (Solgar Vitamin and Herb),Colecalciferol,600unit,Capsule,Oral,09060400,Vitamin D,May 2019,1
69912,34261711000001108,75925021,7750,"Colecalciferol 25,000unit capsules",Colecalciferol,25000unit,Capsule,Oral,09060400,Vitamin D,July 2017,1
70531,34585111000001100,77334021,92,"Colecalciferol 2,000unit chewable tablets",Colecalciferol,2000unit,Chewable tablet,Oral,09060400,Vitamin D,October 2017,1
66710,32419711000001100,65972021,3555,"Colecalciferol 1,000unit / Calcium carbonate 2.5g chewable tablets",Colecalciferol/Calcium carbonate,1000iu + 2.5gram,Chewable tablet,Oral,09060400,Vitamin D,July 2016,1
86483,40388511000001104,01190022,157,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets sugar free,Colecalciferol/Calcium carbonate,400unit + 1.5gram,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,July 2022,1
55628,18539311000001108,37912020,14,"ZymaD 10,000units/ml oral solution (Imported (France))",Colecalciferol,10000unit/1ml,Oral solution,Oral,09060400,Vitamin D,June 2013,1
62118,23656511000001104,21610021,161,"Vitamin D3 Lemon Melts 2,000unit tablets (Nutri Advanced Ltd)",Colecalciferol,2000unit,Orodispersible tablet,Oral,09060400,Vitamin D,January 2015,1
10227,9523811000001102,89630020,21678,Fosavance tablets (Organon Pharma (UK) Ltd),Colecalciferol/Alendronate sodium,70microgram + 70mg,Tablet,Oral,06060200,Bisphosphonates And Other Drugs Affecting Bone Metabolism,February 2009,1
67509,32498511000001104,67762021,1629,"Colecalciferol 4,000unit tablets",Colecalciferol,4000unit,Tablet,Oral,09060400,Vitamin D,September 2016,1
61359,24651411000001104,26988021,80159,"InVita D3 25,000units/1ml oral solution (Consilient Health Ltd)",Colecalciferol,25000unit/1ml,Oral solution,Oral,09060400,Vitamin D,October 2014,1
12791,15982411000001100,84217020,1437866,Calceos 500mg/400unit chewable tablets (Galen Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,February 2009,1
65000,29748711000001104,52534021,703,"Colecalciferol 2,740units/ml oral drops sugar free",Colecalciferol,2740unit/1ml,Oral drops,Oral,09060400,Vitamin D,December 2015,1
52210,20172911000001108,40156020,2,"Colecalciferol 20,000unit capsules (Alissa Healthcare Research Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,January 2013,1
57335,21612511000001104,46628020,38,"Cubicole D3 50,000unit capsules (Cubic Pharmaceuticals Ltd)",Colecalciferol,50000unit,Capsule,Oral,09060400,Vitamin D,October 2013,1
88464,38056911000001104,91372021,2,"ColeDose D3 4,000unit tablets (TriOn Pharma Ltd)",Colecalciferol,4000unit,Tablet,Oral,09060400,Vitamin D,July 2023,1
55458,21904711000001100,47845020,1135,"Plenachol 20,000unit capsules (D3 Pharma)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,June 2013,1
6577,41983911000001104,83235020,1498449,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets,Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,February 2009,1
57791,21258011000001100,44934020,11,"ColeVit D3 20,000units/ml oral solution (Sterling Pharmaceuticals Ltd)",Colecalciferol,20000unit/1ml,Oral solution,Oral,09060400,Vitamin D,December 2013,1
82878,22779711000001100,17280021,7,"E-D3 1,000units/ml oral solution (Ennogen Healthcare Ltd)",Colecalciferol,1000unit/1ml,Oral solution,Oral,09060400,Vitamin D,January 2021,1
53347,16143711000001108,07998020,4,Calcichew D3 chewable tablets (Lexon (UK) Ltd),Calcium carbonate/Colecalciferol,1.25gram + 200unit,Chewable tablet,Oral,09060400,Vitamin D,January 2013,1
48961,9261911000001108,21380020,7550,Cod liver oil 1g capsules,Cod liver oil/Retinol/Colecalciferol,1gram +  + ,Capsule,Oral,09040251,Nutritional Supplements,January 2013,1
47133,19182111000001104,00645021,29545,"Pro D3 1,000unit capsules (Synergy Biologics Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,May 2012,1
69916,34240411000001100,75928021,1746,"InVita D3 5,600unit capsules (Consilient Health Ltd)",Colecalciferol,5600unit,Capsule,Oral,09060400,Vitamin D,July 2017,1
68713,32451311000001108,65855021,218,"Aviticol 1,000unit capsules (Colonis Pharma Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,January 2017,1
3717,3251311000001104,83671020,181902,Cacit D3 effervescent granules sachets (Theramex HQ UK Ltd),Calcium carbonate/Colecalciferol,1.25gram + 440unit,Effervescent granules,Oral,09060400,Vitamin D,February 2009,1
46662,17318311000001100,00178021,534,"Solgar Vitamin D3 1,000unit tablets (Solgar Vitamin and Herb)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,January 2012,1
72619,32607611000001104,67685021,1,Colecalciferol 400unit tablets (Alissa Healthcare Research Ltd),Colecalciferol,400unit,Tablet,Oral,09060400,Vitamin D,July 2018,1
46450,19372511000001108,00144021,72350,Colecalciferol 200unit / Calcium carbonate 750mg tablets,Calcium carbonate/Colecalciferol,750mg + 200unit,Tablet,Oral,09060400,Vitamin D,November 2011,1
47561,19899311000001100,00894021,86,"Colecalciferol 20,000units/ml oral solution sugar free",Colecalciferol,20000unit/1ml,Oral solution,Oral,09060400,Vitamin D,August 2012,1
65001,11815711000001108,30079020,6,"Colecalciferol 1,000units/5ml oral suspension",Colecalciferol,200unit/1ml,Oral suspension,Oral,09060400,Vitamin D,December 2015,1
6264,41983811000001110,60074020,1270052,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets,Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,February 2009,1
87962,40953911000001104,03087022,3,Aace D3 600unit capsules (Essential-Healthcare Ltd),Colecalciferol,600unit,Capsule,Oral,09060400,Vitamin D,April 2023,1
49682,20113711000001104,40229020,235,Colecalciferol 800units/ml oral drops sugar free,Colecalciferol,800unit/1ml,Oral drops,Oral,09060400,Vitamin D,January 2013,1
