prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,vdd_code
56043,18519511000001108,37883020,3076,"Colecalciferol 5,000unit capsules",Colecalciferol,5000unit,Capsule,Oral,09060400,Vitamin D,August 2013,1
80681,27440211000001108,31293021,2,"Colecalciferol 6,000units/5ml oral solution",Colecalciferol,1200unit/1ml,Oral solution,Oral,09060400,Vitamin D,May 2020,1
28401,9254811000001108,82173020,59,Seven Seas Pure Cod Liver Oil capsules (Seven Seas Ltd),Cod liver oil/Retinol/Colecalciferol,294mg +  + ,Capsule,Oral,09040251,Nutritional Supplements,February 2009,1
70307,15977311000001104,08007020,0,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets (Zanza Specials International Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,September 2017,1
63001,27708111000001104,40472021,74,"SunVit-D3 5,000unit tablets (SunVit-D3 Ltd)",Colecalciferol,5000unit,Tablet,Oral,09060400,Vitamin D,April 2015,1
86592,34215811000001104,75793021,5,Haliborange Mr.Men Little Miss Calcium & Vitamin D softies chewable tablets (Seven Seas Ltd),Colecalciferol/Calcium phosphate,200unit + 250mg,Chewable tablet,Oral,09040251/09060400,Nutritional Supplements/Vitamin D,August 2022,1
45617,18764211000001104,99388020,9971,Colecalciferol 800unit / Calcium carbonate 1.25g chewable tablets,Calcium carbonate/Colecalciferol,1.25gram + 800unit,Chewable tablet,Oral,09060400,Vitamin D,July 2011,1
70142,22779511000001104,17276021,1,"E-D3 2,000units/ml oral drops (Ennogen Healthcare Ltd)",Colecalciferol,2000unit/1ml,Oral drops,Oral,09060400,Vitamin D,September 2017,1
61536,22523211000001108,16530021,111,"SunVit-D3 10,000unit tablets (SunVit-D3 Ltd)",Colecalciferol,10000unit,Tablet,Oral,09060400,Vitamin D,October 2014,1
57461,10496711000001100,07997020,2108,Calcichew D3 chewable tablets (Waymade Healthcare Plc),Calcium carbonate/Colecalciferol,1.25gram + 200unit,Chewable tablet,Oral,09060400,Vitamin D,October 2013,1
88061,41074111000001104,04050022,1,"AceCal D3 10,000unit tablets (Essential-Healthcare Ltd)",Colecalciferol,10000unit,Tablet,Oral,09060400,Vitamin D,May 2023,1
71508,34782611000001104,78248021,30,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets (A A H Pharmaceuticals Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,January 2018,1
73782,35243911000001108,80244021,53,"Pro D3 20,000unit Vegan capsules (Synergy Biologics Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,November 2018,1
61004,23653311000001104,21554021,0,"Colecalciferol 20,000unit capsules (Phoenix Healthcare Distribution Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,August 2014,1
