prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
67317,23,01885020,Dilzem XL 120 capsules (Mawdsley-Brooks & Company Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,August 2016
13240,54342,87832020,Dilzem XL 120 capsules (Teva UK Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
66635,58,01892020,Dilzem XL 180 capsules (DE Pharmaceuticals),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,July 2016
59098,0,01889020,Dilzem XL 180 capsules (Lexon (UK) Ltd),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,March 2014
60415,0,01891020,Dilzem XL 180 capsules (Sigma Pharmaceuticals Plc),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,July 2014
13075,71268,87834020,Dilzem XL 180 capsules (Teva UK Ltd),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
59863,134,01895020,Dilzem XL 240 capsules (Lexon (UK) Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,May 2014
13127,48564,87836020,Dilzem XL 240 capsules (Teva UK Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
71342,18,01894020,Dilzem XL 240 capsules (Waymade Healthcare Plc),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,January 2018
3370,21162,75264020,Dilzem xl mr 120mg Modified-release capsule (Elan Pharma),Diltiazem Hydrochloride,120mg,Modified-release Capsule,Oral,02060200,Calcium-channel Blockers,February 2009
3676,31304,75265020,Dilzem xl mr 180mg Modified-release capsule (Elan Pharma),Diltiazem Hydrochloride,180mg,Modified-release Capsule,Oral,02060200,Calcium-channel Blockers,February 2009
2686,20751,75266020,Dilzem xl mr 240mg Modified-release capsule (Elan Pharma),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
18852,1245,86924020,Disogram SR 120mg capsules (Ranbaxy (UK) Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
18874,414,68687020,Disogram SR 180mg capsules (Ranbaxy (UK) Ltd),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
19426,696,79164020,Disogram SR 240mg capsules (Ranbaxy (UK) Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
19440,231,77223020,Disogram SR 300mg capsules (Ranbaxy (UK) Ltd),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
18834,688,82002020,Disogram SR 60mg capsules (Ranbaxy (UK) Ltd),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
18830,1647,82004020,Disogram SR 90mg capsules (Ranbaxy (UK) Ltd),Diltiazem hydrochloride,90mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
30462,17,85740020,Ethimil MR 240mg tablets (Genus Pharmaceuticals Ltd),Verapamil hydrochloride,240mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
35096,1814,92773020,Exforge 10mg/160mg tablets (Novartis Pharmaceuticals UK Ltd),Amlodipine besilate/Valsartan,10mg + 160mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
35697,1788,92771020,Exforge 5mg/160mg tablets (Novartis Pharmaceuticals UK Ltd),Amlodipine besilate/Valsartan,5mg + 160mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
