prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
8061,268,66693020,Sotalol 80mg with hydrochlorothiazide 12.5mg tablet,Sotalol Hydrochloride/Hydrochlorothiazide,80mg + 12.5mg,Tablets,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
12456,12653,51646020,Sotazide Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),Sotalol Hydrochloride/Hydrochlorothiazide,,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
19003,11,04394007,SPIRONOLACTONE/PROPRANOLOL 50 MG TAB,,,,,00000000,Unknown,February 2009
17783,6,57624020,Spiroprop Tablet (Pharmacia Ltd),Propranolol Hydrochloride/Spironolactone,,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
26895,202,79594020,Syprol 10mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),Propranolol hydrochloride,2mg/1ml,Oral solution,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs",February 2009
45765,20,96602020,Syprol 40mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),Propranolol hydrochloride,8mg/1ml,Oral solution,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs",July 2011
42152,100,79595020,Syprol 50mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),Propranolol hydrochloride,10mg/1ml,Oral solution,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs",April 2010
17082,178,79593020,Syprol 5mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),Propranolol hydrochloride,1mg/1ml,Oral solution,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs",February 2009
18743,3971,83989020,Tenben 25mg/1.25mg capsules (Galen Ltd),Atenolol/Bendroflumethiazide,25mg + 1.25mg,Capsule,Oral,00000000,Unknown,February 2009
26248,700,57165020,Tenchlor 100mg/25mg tablets (Teva UK Ltd),Atenolol/Chlortalidone,100mg + 25mg,Tablet,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
31470,29,57164020,Tenchlor 50mg/12.5mg tablets (Teva UK Ltd),Atenolol/Chlortalidone,50mg + 12.5mg,Tablet,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
8642,104158,68652020,Tenif 50mg/20mg modified-release capsules (AstraZeneca UK Ltd),Atenolol/Nifedipine,50mg + 20mg,Modified-release capsule,Oral,02040000/02060200,Beta-adrenoceptor Blocking Drugs/Calcium-channel Blockers,February 2009
1288,306406,51857020,Tenoret 50mg/12.5mg tablets (AstraZeneca UK Ltd),Atenolol/Chlortalidone,50mg + 12.5mg,Tablet,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
1124,554635,54815020,Tenoretic 100mg/25mg tablets (AstraZeneca UK Ltd),Atenolol/Chlortalidone,100mg + 25mg,Tablet,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
2587,356867,51860020,Tenormin 100mg tablets (AstraZeneca UK Ltd),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
2590,69340,72526020,Tenormin 25mg tablets (AstraZeneca UK Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
13394,4359,51861020,Tenormin 25mg/5ml syrup (AstraZeneca UK Ltd),Atenolol,5mg/1ml,Oral solution,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
7429,52,51862020,Tenormin 5mg/10ml solution for injection ampoules (AstraZeneca UK Ltd),Atenolol,500microgram/1ml,Solution for injection,Intravenous,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
2432,399627,54818020,Tenormin LS 50mg tablets (AstraZeneca UK Ltd),Atenolol,50mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
48745,0,37067020,Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets,Timolol maleate/Amiloride hydrochloride/Hydrochlorothiazide,10mg + 2.5mg + 25mg,Tablet,Oral,02040100,Beta-adrenoceptor Blocking Drugs With Diuretic,January 2013
12651,5218,67081020,Timolol 10mg / Bendroflumethiazide 2.5mg tablets,Timolol maleate/Bendroflumethiazide,10mg + 2.5mg,Tablet,Oral,02040100,Beta-adrenoceptor Blocking Drugs With Diuretic,February 2009
