prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
36878,3929,93930020,Rasilez 150mg tablets (Noden Pharma DAC),Aliskiren hemifumarate,150mg,Tablet,Oral,2050503,Renin Inhibitors,February 2009
36879,2182,93932020,Rasilez 300mg tablets (Noden Pharma DAC),Aliskiren hemifumarate,300mg,Tablet,Oral,2050503,Renin Inhibitors,February 2009
36909,14485,93928020,Aliskiren 300mg tablets,Aliskiren hemifumarate,300mg,Tablet,Oral,2050503,Renin Inhibitors,February 2009
36629,19917,93926020,Aliskiren 150mg tablets,Aliskiren hemifumarate,150mg,Tablet,Oral,2050503,Renin Inhibitors,February 2009
