medcode,readcode,readterm,incident
7320,NA,Ischaemic cardiomyopathy,NA
7347,NA,unstable angina,NA
7442,NA,saphenous vein graft replacement of three coronary arteries,NA
7609,NA,other autograft replacement of coronary artery nos,NA
7634,NA,saphenous vein graft replacement of two coronary arteries,NA
7696,NA,syncope anginosa,NA
8246,NA,ecg: myocardial ischaemia,NA
8312,NA,saphenous vein graft bypass of coronary artery,NA
8516,NA,Cardiac rehabilitation,NA
8679,NA,saphenous vein graft replacement of one coronary artery,NA
8942,NA,insertion of coronary artery stent,NA
9276,NA,acute coronary insufficiency,NA
9413,NA,other acute and subacute ischaemic heart disease,NA
9414,NA,other autograft replacement of coronary artery,NA
10109,NA,Heart diseases,NA
10127,NA,Referral to cardiac rehabilitation nurse,NA
10209,NA,autograft replacement of three coronary arteries nec,NA
10260,NA,coronary heart disease review,NA
11048,NA,variant angina pectoris,NA
11610,NA,saphenous vein graft replacement of four+ coronary arteries,NA
11648,NA,coronary heart disease medication review,NA
11983,NA,acute coronary syndrome,NA
12734,NA,coronary artery bypass graft occlusion,NA
12804,NA,stable angina,NA
13185,NA,angina control,NA
13187,NA,CHD monitoring,NA
13250,NA,Cardiac diseases,NA
14782,NA,angina control - improving,NA
15349,NA,angina control nos,NA
15373,NA,angina control - poor,NA
15754,NA,other chronic ischaemic heart disease nos,NA
17133,NA,mural thrombosis,NA
17307,NA,angina at rest,NA
17681,NA,Cardiac disease monitoring NOS,NA
18030,NA,percut translum thrombolysis femoral graft streptokinase,NA
18118,NA,worsening angina,NA
18125,NA,nocturnal angina,NA
18134,NA,Chest pain on exertion,NA
18135,NA,coronary heart disease annual review,NA
18150,NA,Coronary heart disease monitoring administration,NA
18218,NA,Cardiac rehabilitation class,NA
18249,NA,saphenous vein graft replacement of coronary artery,NA
18643,NA,[v]presence of coronary angioplasty implant and graft,NA
18670,NA,percut transluminal balloon angioplasty one coronary artery,NA
18889,NA,asymptomatic coronary heart disease,NA
18913,NA,[v]presence of aortocoronary bypass graft,NA
19046,NA,rotary blade coronary angioplasty,NA
19067,NA,Under care of cardiac rehabilitation nurse,NA
19185,NA,Cardiovascular disease monitoring,NA
19193,NA,prosthetic replacement of coronary artery nos,NA
19250,NA,Cardiac rehabilitation declined,NA
19402,NA,prosthetic replacement of coronary artery,NA
19413,NA,autograft replacement of two coronary arteries nec,NA
19542,NA,angina control - good,NA
19655,NA,angina at rest,NA
19744,NA,Coronary heart disease monitoring refused,NA
19827,NA,Positive exercise ECG test,NA
20095,NA,angina decubitus,NA
20416,NA,atherosclerotic heart disease,NA
20903,NA,peroperative angioplasty,NA
21844,NA,transient myocardial ischaemia,NA
22020,NA,endarterectomy of coronary artery nec,NA
22383,NA,other specified ischaemic heart disease,NA
22647,NA,lima single anastomosis,NA
22828,NA,percutaneous transluminal laser coronary angioplasty,NA
23078,NA,chronic myocardial ischaemia,NA
23098,NA,[V]Cardiac rehabilitation,NA
24540,NA,chronic coronary insufficiency,NA
24783,NA,arteriosclerotic heart disease,NA
25814,NA,Coronary heart disease monitoring 1st letter,NA
25842,NA,angina pectoris nos,NA
26863,NA,new onset angina,NA
26973,NA,ecg:shows myocardial ischaemia,NA
27484,NA,Cardiac aneurysm,NA
27951,NA,other acute and subacute ischaemic heart disease,NA
