medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease
23361,G68..00,527,0,56,2,Late effects of cerebrovascular disease,February 2009
2418,G6...00,214952,0,1023,0,Cerebrovascular disease,February 2009
101251,ZV12D00,618,0,7,0,[V]Personal history of transient ischaemic attack,January 2011
34135,14A7.00,15358,0,104,0,H/O: CVA/stroke,February 2009
56458,8HHM.00,101,0,185,0,Ref to multidisciplinary stroke function improvement service,February 2009
108630,Gyu6E00,3,0,0,0,"[X]Subarachnoid haemorrh from intracranial artery, unspecif",September 2014
100015,8CRB.00,763,0,473,0,Transient ischaemic attack clinical management plan,June 2010
73901,Gyu6.00,71,0,0,0,[X]Cerebrovascular diseases,February 2009
31595,G610.00,202,0,2,0,Cortical haemorrhage,February 2009
19412,G602.00,510,0,1,0,Subarachnoid haemorrhage from middle cerebral artery,February 2009
1469,G66..00,318681,0,24205,385,Stroke and cerebrovascular accident unspecified,February 2009
36717,G640000,1093,0,12,0,Cerebral infarction due to thrombosis of cerebral arteries,February 2009
12833,G668.00,7616,0,95,0,Right sided CVA,February 2009
109743,661N700,7,0,0,0,Stroke self-management plan review,June 2015
65770,G677200,32,0,0,0,Occlusion and stenosis of posterior cerebral artery,February 2009
57315,G618.00,50,0,2,0,"Intracerebral haemorrhage, multiple localized",February 2009
34117,G67y.00,151,0,3,0,Other cerebrovascular disease OS,February 2009
13577,G67..00,1058,0,8,0,Other cerebrovascular disease,February 2009
91627,Gyu6300,125,0,0,0,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,February 2009
96630,Gyu6F00,35,0,0,0,"[X]Intracerebral haemorrhage in hemisphere, unspecified",April 2009
40758,G6W..00,807,0,2,0,Cereb infarct due unsp occlus/stenos precerebr arteries,February 2009
110337,Gyu6C00,9,0,0,0,"[X]Sequelae of stroke,not specfd as h'morrhage or infarction",December 2015
31218,9Om..00,8158,0,48,0,Stroke/transient ischaemic attack monitoring administration,February 2009
42283,S63z.00,7,0,0,0,Other cerebral haemorrhage following injury NOS,February 2009
34245,9Om1.00,45393,0,185,0,Stroke/transient ischaemic attack monitoring second letter,February 2009
7780,G667.00,8808,0,104,0,Left sided CVA,February 2009
57527,G677100,41,0,0,0,Occlusion and stenosis of anterior cerebral artery,February 2009
6305,14A7.11,14175,0,695,10,H/O: CVA,February 2009
56007,G601.00,16,0,0,0,Subarachnoid haemorrhage from carotid siphon and bifurcation,February 2009
17322,G664.00,2393,0,68,0,Cerebellar stroke syndrome,February 2009
28314,G61X000,369,0,0,0,"Left sided intracerebral haemorrhage, unspecified",February 2009
33499,G665.00,858,0,1,0,Pure motor lacunar syndrome,February 2009
6116,G66..13,24562,0,454,0,CVA - Cerebrovascular accident unspecified,February 2009
6253,G66..12,13977,0,104,0,Stroke unspecified,February 2009
1298,G66..11,170300,0,3814,26,CVA unspecified,February 2009
51311,G6y..00,151,0,0,0,Other specified cerebrovascular disease,February 2009
53810,Gyu6200,65,0,0,0,[X]Other intracerebral haemorrhage,February 2009
19260,G662.00,787,0,2,0,Posterior cerebral artery syndrome,February 2009
42248,ZLEP.00,403,0,0,0,Discharge from stroke serv,February 2009
18689,G660.00,1314,0,6,0,Middle cerebral artery syndrome,February 2009
57495,G63..11,56,0,0,0,Infarction - precerebral,February 2009
31941,A94y600,57,0,3,0,Rupture of syphilitic cerebral aneurysm,February 2009
3535,G61z.00,2509,0,82,1,Intracerebral haemorrhage NOS,February 2009
55602,G677300,63,0,0,0,Occlusion and stenosis of cerebellar arteries,February 2009
41577,1477.00,367,0,0,0,H/O: cerebrovascular disease,February 2009
98642,G633.00,10,0,1,0,Multiple and bilateral precerebral arterial occlusion,March 2010
46545,S62z.00,68,0,0,0,Cerebral haemorrhage following injury NOS,February 2009
51759,G677000,159,0,0,0,Occlusion and stenosis of middle cerebral artery,February 2009
