prodcode,productname
41494,Pamidronate disodium 60mg/4ml solution for infusion ampoules
63164,Pamidronate disodium 15mg powder and solvent for solution for infusion vials
45280,Risedronate sodium 35mg & calcium carbonate 1250mg tablet
6058,Risedronate sodium 35mg tablets
6634,Risedronate sodium 5mg tablets
6084,Actonel once a week 35mg Tablet (Procter & Gamble (Health & Beauty Care) Ltd)
7527,Actonel 5mg tablets (Warner Chilcott UK Ltd)
44511,Actonel Once a Week 35mg tablets (Warner Chilcott UK Ltd)
7089,Risedronate sodium 30mg tablets
7546,Actonel 30mg tablets (Warner Chilcott UK Ltd)
63802,Actonel Once a Week 35mg tablets (Lexon (UK) Ltd)
66028,Actonel 35mg tablets (Teva UK Ltd)
59916,Risedronate sodium 35mg tablets (Sandoz Ltd)
65971,Risedronate sodium 35mg/5ml oral suspension
58618,Risedronate sodium 35mg/5ml oral solution
71209,Risedronate sodium 35mg tablets (Mawdsley-Brooks & Company Ltd)
60288,Actonel Once a Week 35mg tablets (Mawdsley-Brooks & Company Ltd)
61313,Risedronate sodium 30mg tablets (A A H Pharmaceuticals Ltd)
59449,Risedronate sodium 35mg tablets (Bluefish Pharmaceuticals AB)
69958,Risedronate sodium 35mg tablets (Mylan)
64431,Risedronate sodium 30mg tablets (Aspire Pharma Ltd)
52373,Risedronate sodium 35mg tablets (Phoenix Healthcare Distribution Ltd)
56431,Risedronate sodium 35mg tablets (Actavis UK Ltd)
67078,Risedronate sodium 35mg tablets (Teva UK Ltd)
48013,Risedronate sodium 35mg tablets (A A H Pharmaceuticals Ltd)
69929,Risedronate sodium 35mg tablets (Alliance Healthcare (Distribution) Ltd)
56663,Risedronate sodium 35mg tablets (Waymade Healthcare Plc)
69630,Risedronate sodium 35mg tablets (Almus Pharmaceuticals Ltd)
5629,Sodium clodronate 800mg tablets
4868,Sodium clodronate 400mg capsules
6568,Sodium clodronate 520mg tablets
9189,Bonefos 800mg tablets (Bayer Plc)
4927,Bonefos 400mg capsules (Bayer Plc)
11244,Loron 520mg tablets (Intrapharm Laboratories Ltd)
3680,Loron 400mg capsules (Roche Products Ltd)
39043,Clasteon 400mg capsules (Kent Pharmaceuticals Ltd)
54989,Clasteon 800mg tablets (Beacon Pharmaceuticals Ltd)
7227,Strontium ranelate 2g granules sachets sugar free
6792,Protelos 2g granules sachets (Servier Laboratories Ltd)
57138,Protelos 2g granules sachets (DE Pharmaceuticals)
71060,Protelos 2g granules sachets (Lexon (UK) Ltd)
20134,Teriparatide 750micrograms/3ml solution for injection pre-filled disposable devices
24185,Forsteo 20micrograms/80microlitres solution for injection 3ml pre-filled disposable devices (Eli Lilly and Company Ltd)
57167,Forsteo 20micrograms/80microlitres solution for injection 2.4ml pre-filled disposable devices (Eli Lilly and Company Ltd)
57223,Teriparatide 600micrograms/2.4ml solution for injection pre-filled disposable devices
47164,Teriparatide 600micrograms/2.4ml solution for injection pre-filled disposable devices
9208,Tiludronic acid 200mg tablets
9525,Skelid 200mg tablets (Sanofi)
